period,int_rs,ouf,ext,demanda_rs,part_rs_weighted_pilot,natureza,formula
2024-07,224983733,24460671,283446250,532890654,0.4221949311950215,DADO_CALCULADO_SOBRE_CESTA_PILOTO_7_NCMS,sum(INT)/sum(INT+OUF+EXT)
2024-08,201519179,23675643,164018152,389212974,0.5177606926330262,DADO_CALCULADO_SOBRE_CESTA_PILOTO_7_NCMS,sum(INT)/sum(INT+OUF+EXT)
2024-09,174374932,20492451,99542289,294409672,0.5922866963419599,DADO_CALCULADO_SOBRE_CESTA_PILOTO_7_NCMS,sum(INT)/sum(INT+OUF+EXT)
2024-10,259526769,10016772,127037720,396581261,0.6544100655325719,DADO_CALCULADO_SOBRE_CESTA_PILOTO_7_NCMS,sum(INT)/sum(INT+OUF+EXT)
2024-11,176665061,9072166,89479467,275216694,0.6419125905203992,DADO_CALCULADO_SOBRE_CESTA_PILOTO_7_NCMS,sum(INT)/sum(INT+OUF+EXT)
2024-12,169274631,9636660,34920870,213832161,0.7916238147170014,DADO_CALCULADO_SOBRE_CESTA_PILOTO_7_NCMS,sum(INT)/sum(INT+OUF+EXT)
2025-01,184100498,9595295,71206471,264902264,0.6949751777130905,DADO_CALCULADO_SOBRE_CESTA_PILOTO_7_NCMS,sum(INT)/sum(INT+OUF+EXT)
2025-02,162350122,9397969,85960683,257708774,0.629975143958428,DADO_CALCULADO_SOBRE_CESTA_PILOTO_7_NCMS,sum(INT)/sum(INT+OUF+EXT)
2025-03,163473248,8396007,26927779,198797034,0.8223123087440027,DADO_CALCULADO_SOBRE_CESTA_PILOTO_7_NCMS,sum(INT)/sum(INT+OUF+EXT)
2025-04,167773315,10995419,24603400,203372134,0.8249572431589866,DADO_CALCULADO_SOBRE_CESTA_PILOTO_7_NCMS,sum(INT)/sum(INT+OUF+EXT)
2025-05,181827748,10524732,52028720,244381200,0.7440332889764024,DADO_CALCULADO_SOBRE_CESTA_PILOTO_7_NCMS,sum(INT)/sum(INT+OUF+EXT)
2025-06,144887156,11479867,54959970,211326993,0.685606480947751,DADO_CALCULADO_SOBRE_CESTA_PILOTO_7_NCMS,sum(INT)/sum(INT+OUF+EXT)
2025-07,173184766,14259784,74031328,261475878,0.6623355367411751,DADO_CALCULADO_SOBRE_CESTA_PILOTO_7_NCMS,sum(INT)/sum(INT+OUF+EXT)
2025-08,152453986,12230681,53725091,218409758,0.6980181993516975,DADO_CALCULADO_SOBRE_CESTA_PILOTO_7_NCMS,sum(INT)/sum(INT+OUF+EXT)
2025-09,132560366,10145198,56605896,199311460,0.6650915406469854,DADO_CALCULADO_SOBRE_CESTA_PILOTO_7_NCMS,sum(INT)/sum(INT+OUF+EXT)
2025-10,120644473,12935866,34836720,168417059,0.7163435445099419,DADO_CALCULADO_SOBRE_CESTA_PILOTO_7_NCMS,sum(INT)/sum(INT+OUF+EXT)
2025-11,113443124,5007441,23272441,141723006,0.8004566598029963,DADO_CALCULADO_SOBRE_CESTA_PILOTO_7_NCMS,sum(INT)/sum(INT+OUF+EXT)
2025-12,108113826,7351527,13478512,128943865,0.8384565330037222,DADO_CALCULADO_SOBRE_CESTA_PILOTO_7_NCMS,sum(INT)/sum(INT+OUF+EXT)
2026-01,110134063,13098000,21613000,144845063,0.760357727898534,DADO_CALCULADO_SOBRE_CESTA_PILOTO_7_NCMS,sum(INT)/sum(INT+OUF+EXT)
2026-02,121046544,8047687,29370572,158464803,0.7638702204425799,DADO_CALCULADO_SOBRE_CESTA_PILOTO_7_NCMS,sum(INT)/sum(INT+OUF+EXT)
2026-03,145567847,9244259,35602131,190414237,0.7644798482163915,DADO_CALCULADO_SOBRE_CESTA_PILOTO_7_NCMS,sum(INT)/sum(INT+OUF+EXT)
2026-04,136328385,6139362,31275044,173742791,0.7846563544613485,DADO_CALCULADO_SOBRE_CESTA_PILOTO_7_NCMS,sum(INT)/sum(INT+OUF+EXT)
2026-05,111457009,7268047,39350073,158075129,0.7050888378525378,DADO_CALCULADO_SOBRE_CESTA_PILOTO_7_NCMS,sum(INT)/sum(INT+OUF+EXT)
2026-06,119196405,10388160,51659990,181244555,0.6576550947971926,DADO_CALCULADO_SOBRE_CESTA_PILOTO_7_NCMS,sum(INT)/sum(INT+OUF+EXT)
2026-07,153308330,7191895,59450891,219951116,0.6970109212812542,DADO_CALCULADO_SOBRE_CESTA_PILOTO_7_NCMS,sum(INT)/sum(INT+OUF+EXT)
2026-08,135978913,9979870,65227155,211185938,0.6438824208077718,DADO_CALCULADO_SOBRE_CESTA_PILOTO_7_NCMS,sum(INT)/sum(INT+OUF+EXT)
