period,source_file,sha256,status,rows,columns,encoding,separator_mode,file_type,column_mapping,raw_columns,error
2024-07,Composicao_de_Mercado_07_2024.csv,e8458e11765faf38731452dccbefeb59d6ddb3473aa3c5f149620296e81c9893,READ_OK,60678,7,utf-8-sig,sniffed,composicao_mercado,ncm=cod_ncm | origin_type=tipo_operacao | period=anomes | value=vlr_nominal,anomes | cod_ncm | ncm_descr | emit_uf | tipo_operacao | vlr_nominal | corte_sigilo,
2024-08,Composicao_de_Mercado_08_2024.csv,c57b2d93cc52e8d4bbf1ae1edffd339f07368d958b6b1c491770020724f3a5b1,READ_OK,60198,7,utf-8-sig,sniffed,composicao_mercado,ncm=cod_ncm | origin_type=tipo_operacao | period=anomes | value=vlr_nominal,anomes | cod_ncm | ncm_descr | emit_uf | tipo_operacao | vlr_nominal | corte_sigilo,
2024-09,Composicao_de_Mercado_09_2024.csv,5b5d8ab968fe558f5c3373f1ab64d49846eb9200a3d58439dc220dae7241e808,READ_OK,59721,7,utf-8-sig,sniffed,composicao_mercado,ncm=cod_ncm | origin_type=tipo_operacao | period=anomes | value=vlr_nominal,anomes | cod_ncm | ncm_descr | emit_uf | tipo_operacao | vlr_nominal | corte_sigilo,
2024-10,Composicao_de_Mercado_10_2024.csv,f957d7eb8450f4c34ecfbcbd6ca9fd2875c8dbdbac0e643b705d54b3d3bc989e,READ_OK,61210,7,utf-8-sig,sniffed,composicao_mercado,ncm=cod_ncm | origin_type=tipo_operacao | period=anomes | value=vlr_nominal,anomes | cod_ncm | ncm_descr | emit_uf | tipo_operacao | vlr_nominal | corte_sigilo,
2024-11,Composicao_de_Mercado_11_2024.csv,273d039a2a852b1e10488750d1c641f4f3a7e317dfed33b12827803f81654df6,READ_OK,60224,7,utf-8-sig,sniffed,composicao_mercado,ncm=cod_ncm | origin_type=tipo_operacao | period=anomes | value=vlr_nominal,anomes | cod_ncm | ncm_descr | emit_uf | tipo_operacao | vlr_nominal | corte_sigilo,
2024-12,Composicao_de_Mercado_12_2024.csv,5c4f55c5608d8e87837b1c5aa842266e97323d8efe3c234b21068e0864723f1d,READ_OK,58028,7,utf-8-sig,sniffed,composicao_mercado,ncm=cod_ncm | origin_type=tipo_operacao | period=anomes | value=vlr_nominal,anomes | cod_ncm | ncm_descr | emit_uf | tipo_operacao | vlr_nominal | corte_sigilo,
2025-01,Composicao_de_Mercado_01_2025.csv,6497c3337711414e253e666d8582f00e511796b5c4d2cd46cb809f0e1f3be213,READ_OK,59147,7,utf-8-sig,sniffed,composicao_mercado,ncm=cod_ncm | origin_type=tipo_operacao | period=anomes | value=vlr_nominal,anomes | cod_ncm | ncm_descr | emit_uf | tipo_operacao | vlr_nominal | corte_sigilo,
2025-02,Composicao_de_Mercado_02_2025.csv,621e1e0b7d371d34d58ab6f36891224e8ed9f4715e3746c90cbabe63fee5e28d,READ_OK,59294,7,utf-8-sig,sniffed,composicao_mercado,ncm=cod_ncm | origin_type=tipo_operacao | period=anomes | value=vlr_nominal,anomes | cod_ncm | ncm_descr | emit_uf | tipo_operacao | vlr_nominal | corte_sigilo,
2025-03,Composicao_de_Mercado_03_2025.csv,a1f8d15e7a0eb8a1a94b7eccd5cac4532933dda221c7ad99cf03dba980f4a092,READ_OK,59517,7,utf-8-sig,sniffed,composicao_mercado,ncm=cod_ncm | origin_type=tipo_operacao | period=anomes | value=vlr_nominal,anomes | cod_ncm | ncm_descr | emit_uf | tipo_operacao | vlr_nominal | corte_sigilo,
2025-04,Composicao_de_Mercado_04_2025.csv,2867e132333cce9d81d9cbb68f0f658baff5d1fad71da3ac3eed691f1cb211f7,READ_OK,59353,7,utf-8-sig,sniffed,composicao_mercado,ncm=cod_ncm | origin_type=tipo_operacao | period=anomes | value=vlr_nominal,anomes | cod_ncm | ncm_descr | emit_uf | tipo_operacao | vlr_nominal | corte_sigilo,
2025-05,Composicao_de_Mercado_05_2025.csv,0d3a37bfeebe1f397e8e625ce36d84766f8a2b87acbfd8237660b0c7fcf11caf,READ_OK,59904,7,utf-8-sig,sniffed,composicao_mercado,ncm=cod_ncm | origin_type=tipo_operacao | period=anomes | value=vlr_nominal,anomes | cod_ncm | ncm_descr | emit_uf | tipo_operacao | vlr_nominal | corte_sigilo,
