eixo,indicador,periodo,valor,unidade,geografia,natureza,fonte,limitacao
"Produção primária","Produção de arroz","Safra 2023/2024","236977","toneladas","São Borja","DADO OBSERVADO","IRGA — Produtividades Municipais Safra 2023/24","Safra agrícola; não equivale a vendas ou VAB"
"Produção primária","Área semeada de arroz","Safra 2023/2024","31166","hectares","São Borja","DADO OBSERVADO","IRGA — Produtividades Municipais Safra 2023/24","Área semeada difere da área efetivamente colhida"
"Produção primária","Área perdida de arroz","Safra 2023/2024","2014","hectares","São Borja","DADO OBSERVADO","IRGA — Produtividades Municipais Safra 2023/24","Perda de área, não de produção potencial estimada"
"Produção primária","Área colhida de arroz","Safra 2023/2024","29152","hectares","São Borja","DADO OBSERVADO","IRGA — Produtividades Municipais Safra 2023/24","Safra agrícola"
"Produção primária","Produtividade do arroz","Safra 2023/2024","8129","kg/ha","São Borja","DADO OBSERVADO","IRGA — Produtividades Municipais Safra 2023/24","Média municipal"
"Produção primária","Produção de arroz","Safra 2024/2025","306703.95","toneladas","São Borja","DADO OBSERVADO","IRGA/SEAPI — Encerrada a colheita do arroz no RS, 13/06/2025","Ranking consolidado publicado; relatório final de safra citado como em finalização na notícia"
"Produção primária","Variação da produção de arroz 2023/24→2024/25","Safras 2023/24–2024/25","29.42","%","São Borja","DADO CALCULADO","SBMI a partir de IRGA: (306703,95 / 236977 - 1) × 100","Compara duas safras consecutivas; não explica causalidade"
"Produção primária","Ranking estadual de produção de arroz","Safra 2024/2025","8","posição","Rio Grande do Sul / São Borja","DADO OBSERVADO","IRGA/SEAPI — 13/06/2025","Ranking por toneladas"
"Produção primária","Ranking na Fronteira Oeste de produção de arroz","Safra 2024/2025","4","posição","Fronteira Oeste / São Borja","DADO OBSERVADO","IRGA/SEAPI — 13/06/2025","Ranking por toneladas entre municípios da região arrozeira"
"Agroindústria","Estabelecimentos ativos — CNAE 10.61-9/01","2025","20","estabelecimentos","São Borja","DADO OBSERVADO/CANÔNICO","Caderno-Base Territorial v028 — camada RAIS 2025 × RFB","Recorte cadastral do projeto; não equivale automaticamente a plantas industriais independentes"
"Agroindústria","Matrizes locais — CNAE 10.61-9/01","2025","19","estabelecimentos","São Borja","DADO OBSERVADO/CANÔNICO","Caderno-Base Territorial v028 — camada RAIS 2025 × RFB","Estrutura cadastral; controle patrimonial/financeiro além da raiz CNPJ não inferido"
"Agroindústria","Filial de raiz com matriz local — CNAE 10.61-9/01","2025","1","estabelecimento","São Borja","DADO OBSERVADO/CANÔNICO","Caderno-Base Territorial v028 — camada RAIS 2025 × RFB","Estrutura cadastral"
"Agroindústria","Vínculos formais — CNAE 10.61-9/01","2025","953","vínculos","São Borja","DADO OBSERVADO/CANÔNICO","Caderno-Base Territorial v028 — RAIS 2025 × RFB","Emprego formal; não mede trabalho informal ou capacidade física instalada"
"Agroindústria","Massa de remuneração de dezembro — CNAE 10.61-9/01","2025-12","3491039.35","R$","São Borja","DADO OBSERVADO/CANÔNICO","Caderno-Base Territorial v028 — RAIS 2025 × RFB","Massa de dezembro; não é folha anual nem valor adicionado"
"Agroindústria","Participação do beneficiamento de arroz nos vínculos da divisão 10","2025","97.34","%","São Borja","DADO CALCULADO/CANÔNICO","Caderno-Base Territorial v028","Recorte usado pelo projeto; não generalizar para todas as formas de agroindústria"
"Agroindústria","Participação do beneficiamento de arroz na massa salarial da divisão 10","2025-12","98.69","%","São Borja","DADO CALCULADO/CANÔNICO","Caderno-Base Territorial v028","Massa de dezembro"
"Benchmark local","Vínculos formais — divisão 01 agricultura, pecuária e serviços relacionados","2025","192","vínculos","São Borja","DADO OBSERVADO/CANÔNICO","Caderno-Base Territorial v028","Divisão ampla; comparação estrutural, não equivalência de atividades"
"Benchmark local","Massa de remuneração de dezembro — divisão 01","2025-12","593208.92","R$","São Borja","DADO OBSERVADO/CANÔNICO","Caderno-Base Territorial v028","Massa de dezembro"
"Estrutura empresarial histórica","Empresas/organizações — grupo 10.6","2022","23","unidades","São Borja","DADO OBSERVADO","IBGE/CEMPRE — Tabela 9418","Ano 2022; grupo mais amplo que arroz"
"Estrutura empresarial histórica","Pessoal ocupado total — grupo 10.6","2022","994","pessoas","São Borja","DADO OBSERVADO","IBGE/CEMPRE — Tabela 9418","Grupo 10.6 inclui outras atividades além de arroz"
"Estrutura empresarial histórica","Pessoal ocupado assalariado — grupo 10.6","2022","960","pessoas","São Borja","DADO OBSERVADO","IBGE/CEMPRE — Tabela 9418","Grupo 10.6 inclui outras atividades além de arroz"
"Estrutura empresarial histórica","Salários e outras remunerações — grupo 10.6","2022","42945","R$ mil","São Borja","DADO OBSERVADO","IBGE/CEMPRE — Tabela 9418","Valor anual em mil reais; grupo 10.6"
"Estrutura empresarial histórica","Empresas/organizações — classe 10.61-9","2022","21","unidades","São Borja","DADO OBSERVADO","IBGE/CEMPRE — Tabela 9418","Emprego e remuneração da classe estão suprimidos (X) por sigilo estatístico"
"Estrutura empresarial histórica","Participação da classe 10.61-9 nos estabelecimentos do grupo 10.6","2022","91.30","%","São Borja","DADO CALCULADO","SBMI: 21 / 23 × 100, a partir de IBGE/CEMPRE 9418","Não inferir a mesma participação em emprego ou salários; esses valores estão suprimidos na classe"
