grupo_afinidade_final,emit_setor,emit_atividade,emit_classe,_merge,n_ncm
Químicos Orgânicos,,,,left_only,2279
Máquinas e Equipamentos Industriais,,,,left_only,893
Pescados e Frutos do Mar,,,,left_only,507
Químicos Inorgânicos,,,,left_only,484
Produtos Químicos Diversos,,,,left_only,451
Componentes Elétricos e Eletrônicos,,,,left_only,401
"Têxteis Naturais (Algodão, Lã, Seda e Afins)",,,,left_only,365
Eletrônicos de Consumo – Informática/TIC,,,,left_only,343
Plásticos e Suas Obras,,,,left_only,321
Medicamentos,,,,left_only,315
"Óptica, Instrumentos e Aparelhos de Precisão",,,,left_only,304
"Metais Não Ferrosos e Suas Obras (NCMs dos Caps. 74, 75, 78, 79, 80, 81)",,,,left_only,266
Papel e Papelão,,,,left_only,232
Frutas e Hortícolas,,,,left_only,210
Madeira e Cortiça - Produtos e Obras,,,,left_only,200
Fibras Sintéticas/Descontínuas – Têxteis,,,,left_only,167
Couros e Suas Obras,,,,left_only,162
Siderurgia – Ferro e Aço,,,,left_only,160
"Joias, Bijuterias, Metais Preciosos e Relógios",,,,left_only,149
Instrumentos Médicos,,,,left_only,139
Aparelhos Telefônicos,,,,left_only,134
Eletrônicos de Consumo – Comunicação/Imagem,,,,left_only,133
Obras de Ferro ou Aço,,,,left_only,128
Vacinas e Soros,,,,left_only,119
"Brinquedos, Jogos e Artigos de Lazer",,,,left_only,114
Vestuário de Malha,,,,left_only,114
Peças e Acessórios Automotivos,,,,left_only,111
Filamentos Sintéticos – Têxteis Técnicos,,,,left_only,107
Máquinas e Equipamentos Industriais,MÁQUINAS E EQUIPAMENTOS,INDÚSTRIA,METAL MECÂNICO,both,106
Vidro e Suas Obras,,,,left_only,104
Minerais e Materiais de Mineração (Não Metálicos),,,,left_only,101
Vestuário Tecido (Plano),,,,left_only,100
Tecidos Sintéticos (Inclusive Malhas),,,,left_only,98
Mobiliário e Iluminação,,,,left_only,96
Eletrodomésticos (Linha Branca + Portáteis),,,,left_only,94
Combustíveis e Derivados de Petróleo,,,,left_only,93
Borracha e Suas Obras (Exceto Pneumáticos),,,,left_only,93
"Produtos Minerais: Pedra, Cimento, Gesso, Amianto e Abrasivos",,,,left_only,91
Óleos e Gorduras Vegetais/animais,,,,left_only,84
"Tintas, Pigmentos e Corantes",,,,left_only,83
Eletrônicos de Consumo – Áudio/Vídeo,,,,left_only,79
Produtos Fotográficos,,,,left_only,74
Acessórios Pessoais e Artigos de Uso Pessoal,,,,left_only,70
Produtos Farmacêuticos,,,,left_only,67
"Feltros, Passamanarias, Têxteis Técnicos",,,,left_only,67
Animais Vivos e Genética,,,,left_only,67
"Produtos Cerâmicos, Porcelana e Refratários",,,,left_only,64
"Soja, Oleaginosas e Sementes",,,,left_only,62
Minérios e Subprodutos da Metalurgia (NCMs do Cap. 26),,,,left_only,59
