grupo_afinidade_final,n_ncm,n_rows
Químicos Orgânicos,2302,2302
Máquinas e Equipamentos Industriais,1028,1028
Químicos Inorgânicos,509,509
Pescados e Frutos do Mar,508,508
Produtos Químicos Diversos,487,487
Componentes Elétricos e Eletrônicos,444,444
Plásticos e Suas Obras,397,397
"Têxteis Naturais (Algodão, Lã, Seda e Afins)",391,391
Eletrônicos de Consumo – Informática/TIC,347,347
Medicamentos,325,325
"Óptica, Instrumentos e Aparelhos de Precisão",323,323
"Metais Não Ferrosos e Suas Obras (NCMs dos Caps. 74, 75, 78, 79, 80, 81)",275,275
Papel e Papelão,264,264
Madeira e Cortiça - Produtos e Obras,230,230
Siderurgia – Ferro e Aço,222,222
Frutas e Hortícolas,217,217
Couros e Suas Obras,185,185
Fibras Sintéticas/Descontínuas – Têxteis,181,181
Obras de Ferro ou Aço,177,177
Vestuário de Malha,164,164
"Joias, Bijuterias, Metais Preciosos e Relógios",155,155
Instrumentos Médicos,151,151
Peças e Acessórios Automotivos,146,146
Aparelhos Telefônicos,140,140
Vestuário Tecido (Plano),140,140
Eletrônicos de Consumo – Comunicação/Imagem,133,133
Mobiliário e Iluminação,126,126
Vacinas e Soros,123,123
Filamentos Sintéticos – Têxteis Técnicos,121,121
"Brinquedos, Jogos e Artigos de Lazer",119,119
"Tintas, Pigmentos e Corantes",118,118
Eletrodomésticos (Linha Branca + Portáteis),117,117
Vidro e Suas Obras,116,116
Tecidos Sintéticos (Inclusive Malhas),114,114
Borracha e Suas Obras (Exceto Pneumáticos),106,106
Combustíveis e Derivados de Petróleo,105,105
Minerais e Materiais de Mineração (Não Metálicos),105,105
"Produtos Minerais: Pedra, Cimento, Gesso, Amianto e Abrasivos",98,98
Óleos e Gorduras Vegetais/animais,95,95
"Feltros, Passamanarias, Têxteis Técnicos",87,87
Ferramentas e Cutelaria (Metais Comuns),87,87
Eletrônicos de Consumo – Áudio/Vídeo,82,82
Acessórios Pessoais e Artigos de Uso Pessoal,74,74
Produtos Fotográficos,74,74
Animais Vivos e Genética,69,69
Produtos Farmacêuticos,69,69
"Sabões e Preparações de Limpeza, Ceras e Pastas",67,67
"Produtos Cerâmicos, Porcelana e Refratários",66,66
Perfumaria e Cosméticos,65,65
"Soja, Oleaginosas e Sementes",63,63
Alumínio e Suas Obras,62,62
Cereais e Grãos (exceto soja),61,61
Veículos Comerciais (Caminhões e Carga) e Ônibus,61,61
Chás e Especiarias,59,59
Minérios e Subprodutos da Metalurgia (NCMs do Cap. 26),59,59
Conservas de Frutas e Hortícolas,56,56
Calçados,50,50
Outras Fibras Têxteis Vegetais,50,50
Laticínios,49,49
"Produtos Editoriais, Impressos e Materiais Gráficos",49,49
"Pneumáticos, Câmaras e Protetores",48,48
Aeronaves e Espaço,47,47
Máquinas e Implementos Agrícolas,47,47
Resíduos para Alimentação Animal,46,46
Adubos e Fertilizantes,45,45
"Farinha, Malte e Preparações de Cereais",45,45
Plantas Vivas e Floricultura,42,42
Artefatos de Metal Diversos,41,41
Pescados e Frutos do Mar - Preparações e Conservas,39,39
Armas e Munições,38,38
Embarcações e Estruturas Flutuantes,38,38
Produtos de Origem Animal (Não Alimentares),37,37
Material Ferroviário e Contêineres,33,33
Sucos e Bebidas à Base de Frutas/Vegetais,32,32
"Açúcares, Sacarídeos e Produtos de Confeitaria (sem cacau)",31,31
Bebidas Alcoólicas,30,30
"Preparações, Suplementos e Complementos alimentares",30,30
Tecidos Impregnados/Revestidos/Laminados,30,30
Objetos de Arte e Coleções,29,29
Tabaco e Sucedâneos,29,29
Carnes de Frango,26,26
Instrumentos Musicais,25,25
Massas e Panificação,24,24
Outros,23,23
Pasta Química e Pasta Mecânica,23,23
"Preparações Alimentícias Diversas (Molhos, Condimentos, etc)",23,23
Explosivos e Pirotecnia,21,21
Veículos Leves e de Passageiros,21,21
Carnes de Outras Aves (Exceto Frango),19,19
Tratores,18,18
Cabos e Fios,17,17
Carnes de Bovinos,16,16
Preparações de Carne,16,16
Obras de Espartaria e Cestaria,15,15
Cacau e Preparações,13,13
Carnes de Ovinos e Caprinos,13,13
Carnes de Espécies Exóticas/Diversas e Subprodutos,12,12
Ovos,12,12
Café,10,10
Carnes Preparadas (Defumadas/Salgadas),10,10
Carnes de Suínos,10,10
Toucinho e Gorduras Não Fundidas,10,10
Motocicletas,9,9
Etanol e Álcool Etílico,7,7
Bebidas Não Alcoólicas (Exceto Sucos),6,6
Mel e Outros Produtos Comestíveis de Origem Animal,4,4
Erva-mate,2,2
Óleos Brutos de Petróleo,2,2
Biodiesel,1,1
Energia Elétrica,1,1
