emit_setor,emit_atividade,emit_classe,n_ncm,n_rows
ALIMENTOS,INDÚSTRIA,ALIMENTOS,81,81
ARROZ,INDÚSTRIA,AGRO,4,4
ARTEFATOS DOMÉSTICOS E FERRAMENTAS,INDÚSTRIA,METAL MECÂNICO,74,74
AVES,INDÚSTRIA,AGRO,17,17
BIODIESEL,INDÚSTRIA,COMBUSTÍVEIS,2,2
BOVINOS,INDÚSTRIA,AGRO,6,6
CALÇADOS E ARTEFATOS,INDÚSTRIA,COUREIRO-CALÇADISTA,14,14
CERVEJA E CHOPP,INDÚSTRIA,BEBIDAS,2,2
CHÁ E MATE,INDÚSTRIA,AGRO,3,3
CIMENTO,INDÚSTRIA,"MADEIRA, CIMENTO E VIDRO",8,8
COMBUSTÍVEIS E DERIVADOS,INDÚSTRIA,COMBUSTÍVEIS,4,4
COSMÉTICOS,INDÚSTRIA,QUÍMICO,17,17
CURTIMENTO DE COURO,INDÚSTRIA,COUREIRO-CALÇADISTA,15,15
DEFENSIVOS AGRÍCOLAS,INDÚSTRIA,INSUMOS AGROPECUÁRIOS,7,7
DESTILADOS,INDÚSTRIA,BEBIDAS,8,8
ELETROELETRÔNICO,INDÚSTRIA,ELETROELETRÔNICO,135,135
EMBALAGENS,INDÚSTRIA,METAL MECÂNICO,4,4
EMBALAGENS,INDÚSTRIA,PAPEL,7,7
EMBALAGENS,INDÚSTRIA,PLÁSTICO,12,12
ENERGIA ELÉTRICA,INDÚSTRIA,ENERGIA ELÉTRICA,1,1
FERTILIZANTES,INDÚSTRIA,INSUMOS AGROPECUÁRIOS,9,9
LEITE,INDÚSTRIA,AGRO,14,14
MADEIRAS,INDÚSTRIA,"MADEIRA, CIMENTO E VIDRO",35,35
MEDICAMENTOS,INDÚSTRIA,QUÍMICO,19,19
METALURGIA,INDÚSTRIA,METAL MECÂNICO,132,132
MÁQUINAS E EQUIPAMENTOS,INDÚSTRIA,METAL MECÂNICO,210,210
MÓVEIS,INDÚSTRIA,MÓVEIS,20,20
OUTRAS BEBIDAS,INDÚSTRIA,BEBIDAS,2,2
OUTRAS INDÚSTRIAS,INDÚSTRIA,OUTRAS INDÚSTRIAS,82,82
OUTROS AGRO,INDÚSTRIA,AGRO,15,15
OUTROS METAL MECÂN.,INDÚSTRIA,METAL MECÂNICO,186,186
OUTROS PRODUTOS DE PAPEL,INDÚSTRIA,PAPEL,30,30
OUTROS QUÍMICOS,INDÚSTRIA,QUÍMICO,138,138
PEÇAS E ACESSÓRIOS PARA VEÍCULOS,INDÚSTRIA,METAL MECÂNICO,47,47
PLÁSTICOS,INDÚSTRIA,PLÁSTICO,115,115
PNEUMÁTICOS E BORRACHA,INDÚSTRIA,PNEUMÁTICOS E BORRACHA,23,23
PRODUTOS DE LIMPEZA,INDÚSTRIA,QUÍMICO,19,19
RAÇÃO ANIMAL,INDÚSTRIA,INSUMOS AGROPECUÁRIOS,8,8
REFRIGERANTE,INDÚSTRIA,BEBIDAS,2,2
SUCOS E REFRESCOS,INDÚSTRIA,BEBIDAS,13,13
SUINOS,INDÚSTRIA,AGRO,10,10
TABACOS,INDÚSTRIA,TABACOS,4,4
TINTAS E SOLVENTES,INDÚSTRIA,QUÍMICO,42,42
TRATORES,INDÚSTRIA,METAL MECÂNICO,7,7
TRIGO,INDÚSTRIA,AGRO,7,7
TÊXTIL,INDÚSTRIA,TÊXTEIS E VESTUÁRIO,140,140
VESTUÁRIO,INDÚSTRIA,TÊXTEIS E VESTUÁRIO,120,120
VEÍCULOS,INDÚSTRIA,METAL MECÂNICO,9,9
VIDRO,INDÚSTRIA,"MADEIRA, CIMENTO E VIDRO",12,12
VINHO,INDÚSTRIA,BEBIDAS,6,6
ÓLEOS VEGETAIS,INDÚSTRIA,AGRO,3,3
