period,grupo_afinidade_final,int_rs,ouf,ext,demanda_rs,n_ncm,part_rs,dependencia_nt,taxonomy_snapshot,natureza
2026-08,Plásticos e Suas Obras,711648376.0,1375666067.0,216000780.0,2303315223.0,312,0.308966991966084,FORA_DAS_FAIXAS_NT,2026-08,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2026-08,Adubos e Fertilizantes,1379830487.0,121258967.0,789476786.0,2290566240.0,36,0.6023971116417048,FORA_DAS_FAIXAS_NT,2026-08,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2026-08,Máquinas e Equipamentos Industriais,627367065.0,1417352063.0,244578851.0,2289297979.0,809,0.27404342761620026,MEDIA,2026-08,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2026-08,Peças e Acessórios Automotivos,614142754.0,1363405773.0,263908696.0,2241457223.0,129,0.27399262751845965,MEDIA,2026-08,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2026-08,Medicamentos,11274293.0,1664544739.0,1030721.0,1676849753.0,209,0.006723496234429776,CRITICA,2026-08,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2026-08,Siderurgia – Ferro e Aço,576023691.0,949678840.0,30469654.0,1556172185.0,206,0.3701542133655345,FORA_DAS_FAIXAS_NT,2026-08,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2026-08,Produtos Químicos Diversos,133004925.0,1224976309.0,85326363.0,1443307597.0,251,0.09215286143886348,ALTA,2026-08,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2026-08,Carnes de Bovinos,824515378.0,537239917.0,0.0,1361755295.0,16,0.6054798399003104,FORA_DAS_FAIXAS_NT,2026-08,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2026-08,Veículos Leves e de Passageiros,0.0,1190325230.0,0.0,1190325230.0,21,0.0,CRITICA,2026-08,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2026-08,Resíduos para Alimentação Animal,718565168.0,354452823.0,813207.0,1073831198.0,38,0.6691602640511102,FORA_DAS_FAIXAS_NT,2026-08,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2026-08,Obras de Ferro ou Aço,420379649.0,498389987.0,60865903.0,979635539.0,155,0.42911841421057306,FORA_DAS_FAIXAS_NT,2026-08,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2026-08,Mobiliário e Iluminação,505276586.0,433131088.0,28728442.0,967136116.0,105,0.5224461972217362,FORA_DAS_FAIXAS_NT,2026-08,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2026-08,Componentes Elétricos e Eletrônicos,137706741.0,694916079.0,118397158.0,951019978.0,326,0.14479899916466318,ALTA,2026-08,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2026-08,Papel e Papelão,320012126.0,583533477.0,20830041.0,924375644.0,176,0.3461927281156274,FORA_DAS_FAIXAS_NT,2026-08,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2026-08,Calçados,444180509.0,369090332.0,14079170.0,827350011.0,37,0.5368713399340246,FORA_DAS_FAIXAS_NT,2026-08,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2026-08,Laticínios,509521492.0,309321959.0,5801850.0,824645301.0,45,0.6178674532943225,FORA_DAS_FAIXAS_NT,2026-08,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
