period,grupo_afinidade_final,int_rs,ouf,ext,demanda_rs,n_ncm,part_rs,dependencia_nt,taxonomy_snapshot,natureza
2024-07,Acessórios Pessoais e Artigos de Uso Pessoal,22424287.0,166458527.0,4391067.0,193273881.0,59,0.1160233699658569,ALTA,2026-08,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2024-07,Adubos e Fertilizantes,1181314780.0,116654849.0,1678092211.0,2976061840.0,34,0.39693892247884205,FORA_DAS_FAIXAS_NT,2026-08,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2024-07,Aeronaves e Espaço,374691.0,3603038.0,631650.0,4609379.0,24,0.081288824373088,ALTA,2026-08,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2024-07,Alumínio e Suas Obras,156745701.0,359589845.0,23554132.0,539889678.0,54,0.2903291309081112,MEDIA,2026-08,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2024-07,Animais Vivos e Genética,37394277.0,99675287.0,37625.0,137107189.0,48,0.272737536760381,MEDIA,2026-08,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2024-07,Aparelhos Telefônicos,2115959.0,443382007.0,6597797.0,452095763.0,51,0.004680333622148987,CRITICA,2026-08,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2024-07,Armas e Munições,41716140.0,31007498.0,0.0,72723638.0,25,0.5736255933730928,FORA_DAS_FAIXAS_NT,2026-08,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2024-07,Artefatos de Metal Diversos,90985776.0,100974648.0,27544607.0,219505031.0,40,0.4145042853254694,FORA_DAS_FAIXAS_NT,2026-08,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2024-07,"Açúcares, Sacarídeos e Produtos de Confeitaria (sem cacau)",47173253.0,238475829.0,270293.0,285919375.0,30,0.16498795508349162,MEDIA,2026-08,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2024-07,Bebidas Alcoólicas,265875070.0,188667929.0,31576620.0,486119619.0,26,0.5469334287452405,FORA_DAS_FAIXAS_NT,2026-08,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2024-07,Bebidas Não Alcoólicas (Exceto Sucos),237285624.0,151952659.0,8130071.0,397368354.0,5,0.5971427306966675,FORA_DAS_FAIXAS_NT,2026-08,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2024-07,Biodiesel,291932682.0,0.0,0.0,291932682.0,1,1.0,FORA_DAS_FAIXAS_NT,2026-08,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2024-07,Borracha e Suas Obras (Exceto Pneumáticos),78542861.0,230584778.0,39165486.0,348293125.0,89,0.22550792812806741,MEDIA,2026-08,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2024-07,"Brinquedos, Jogos e Artigos de Lazer",12722338.0,171071044.0,4115626.0,187909008.0,75,0.0677047797516977,ALTA,2026-08,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2024-07,Cabos e Fios,32761400.0,281610279.0,12359636.0,326731315.0,14,0.1002701562291328,ALTA,2026-08,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2024-07,Cacau e Preparações,37264684.0,175475965.0,2288600.0,215029249.0,13,0.17330053550063787,MEDIA,2026-08,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2024-07,Café,878953.0,149596142.0,4335.0,150479430.0,10,0.00584101760619375,CRITICA,2026-08,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2024-07,Calçados,460141501.0,328047372.0,7172865.0,795361738.0,36,0.5785310997698508,FORA_DAS_FAIXAS_NT,2026-08,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2024-07,Carnes Preparadas (Defumadas/Salgadas),11190696.0,15311442.0,0.0,26502138.0,7,0.4222563477708855,FORA_DAS_FAIXAS_NT,2026-08,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2024-07,Carnes de Bovinos,624010478.0,502631593.0,3403570.0,1130045641.0,16,0.5521993584682126,FORA_DAS_FAIXAS_NT,2026-08,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2024-07,Carnes de Espécies Exóticas/Diversas e Subprodutos,2922392.0,656684.0,0.0,3579076.0,9,0.816521359144092,FORA_DAS_FAIXAS_NT,2026-08,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2024-07,Carnes de Frango,359944172.0,187815780.0,2351793.0,550111745.0,10,0.6543110109383322,FORA_DAS_FAIXAS_NT,2026-08,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2024-07,Carnes de Outras Aves (Exceto Frango),0.0,168925.0,0.0,168925.0,7,0.0,CRITICA,2026-08,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2024-07,Carnes de Ovinos e Caprinos,3926400.0,261754.0,0.0,4188154.0,12,0.937501343073822,FORA_DAS_FAIXAS_NT,2026-08,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2024-07,Carnes de Suínos,107137242.0,60343291.0,0.0,167480533.0,10,0.6396996718418612,FORA_DAS_FAIXAS_NT,2026-08,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2024-07,Cereais e Grãos (exceto soja),239377579.0,679459817.0,411859417.0,1330696813.0,42,0.17988889479665418,MEDIA,2026-08,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2024-07,Chás e Especiarias,11220679.0,10765630.0,28721.0,22015030.0,40,0.5096826577115725,FORA_DAS_FAIXAS_NT,2026-08,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2024-07,Combustíveis e Derivados de Petróleo,314379821.0,369083228.0,12185317.0,695648366.0,68,0.451923466460065,FORA_DAS_FAIXAS_NT,2026-08,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2024-07,Componentes Elétricos e Eletrônicos,142580098.0,652358650.0,202758270.0,997697018.0,325,0.14290921535058654,ALTA,2026-08,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2024-07,Conservas de Frutas e Hortícolas,41640734.0,152981699.0,17705618.0,212328051.0,49,0.19611508608441003,MEDIA,2026-08,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2024-07,Couros e Suas Obras,155319067.0,126864674.0,18305838.0,300489579.0,105,0.5168867004203164,FORA_DAS_FAIXAS_NT,2026-08,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2024-07,Eletrodomésticos (Linha Branca + Portáteis),127187130.0,818368534.0,32657293.0,978212957.0,105,0.13001987868782647,ALTA,2026-08,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2024-07,Eletrônicos de Consumo – Comunicação/Imagem,2788292.0,237227781.0,10981973.0,250998046.0,50,0.011108819548340228,CRITICA,2026-08,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2024-07,Eletrônicos de Consumo – Informática/TIC,5173506.0,316179583.0,8694156.0,330047245.0,139,0.015675046764895735,CRITICA,2026-08,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2024-07,Eletrônicos de Consumo – Áudio/Vídeo,3691624.0,50253828.0,25155762.0,79101214.0,32,0.04666962507048248,CRITICA,2026-08,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2024-07,Embarcações e Estruturas Flutuantes,398581.0,5752030.0,0.0,6150611.0,27,0.06480348049974222,ALTA,2026-08,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2024-07,Erva-mate,34724019.0,33114544.0,0.0,67838563.0,2,0.5118625375363567,FORA_DAS_FAIXAS_NT,2026-08,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2024-07,Etanol e Álcool Etílico,2677387.0,575987198.0,0.0,578664585.0,5,0.004626837496889497,CRITICA,2026-08,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2024-07,Explosivos e Pirotecnia,2124.0,3604218.0,0.0,3606342.0,14,0.0005889624444936171,CRITICA,2026-08,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2024-07,"Farinha, Malte e Preparações de Cereais",211271977.0,104579373.0,15301795.0,331153145.0,37,0.6379887378089071,FORA_DAS_FAIXAS_NT,2026-08,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2024-07,"Feltros, Passamanarias, Têxteis Técnicos",17200476.0,49894570.0,2443865.0,69538911.0,74,0.24735037912802518,MEDIA,2026-08,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2024-07,Ferramentas e Cutelaria (Metais Comuns),52552201.0,110659662.0,30255196.0,193467059.0,85,0.2716338443951846,MEDIA,2026-08,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2024-07,Fibras Sintéticas/Descontínuas – Têxteis,4758801.0,21385525.0,368024.0,26512350.0,118,0.17949374536772486,MEDIA,2026-08,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2024-07,Filamentos Sintéticos – Têxteis Técnicos,14545410.0,75018753.0,2848169.0,92412332.0,89,0.1573968504549804,MEDIA,2026-08,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2024-07,Frutas e Hortícolas,28302051.0,300252892.0,77788780.0,406343723.0,174,0.0696505185094246,ALTA,2026-08,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2024-07,Instrumentos Musicais,3850.0,12104101.0,0.0,12107951.0,19,0.0003179728758400162,CRITICA,2026-08,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2024-07,Instrumentos Médicos,14185769.0,257141926.0,30280040.0,301607735.0,111,0.04703383684771878,CRITICA,2026-08,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2024-07,"Joias, Bijuterias, Metais Preciosos e Relógios",15289467.0,61004824.0,3576775.0,79871066.0,107,0.19142685537713997,MEDIA,2026-08,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2024-07,Laticínios,472533879.0,252979060.0,461254.0,725974193.0,44,0.6508962488698272,FORA_DAS_FAIXAS_NT,2026-08,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2024-07,Madeira e Cortiça - Produtos e Obras,277752193.0,281811318.0,5643018.0,565206529.0,148,0.49141717009429664,FORA_DAS_FAIXAS_NT,2026-08,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2024-07,Massas e Panificação,228290785.0,285885067.0,2194467.0,516370319.0,20,0.4421067141157662,FORA_DAS_FAIXAS_NT,2026-08,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2024-07,Material Ferroviário e Contêineres,2928259.0,5424825.0,0.0,8353084.0,20,0.3505602242237717,FORA_DAS_FAIXAS_NT,2026-08,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
