period,composition_unique_ncm,composition_total_value,affinity_mapped_unique_ncm,affinity_ncm_coverage_pct,affinity_mapped_value,affinity_value_coverage_pct,portfolio_mapped_unique_ncm,portfolio_ncm_coverage_pct
2024-07,8931,46640469034.0,8766,98.15250251931474,46640410287.0,99.99987404286188,1333,14.92554025305117
2024-08,8910,47267593447.0,8743,98.1257014590348,47267483882.0,99.9997682027114,1338,15.016835016835017
2024-09,8883,45923781527.0,8719,98.15377687718113,45923736804.0,99.99990261472702,1341,15.096251266464034
2024-10,9055,48342445245.0,8872,97.97901711761457,48342413638.0,99.99993461853276,1340,14.798453892876864
2024-11,8944,45018902394.0,8790,98.27817531305904,45018902174.0,99.99999951131639,1343,15.015652951699462
2024-12,8849,39964080452.0,8690,98.20318680076845,39964077705.0,99.99999312632752,1341,15.154254718047236
2025-01,8896,40858378142.0,8731,98.14523381294964,40858377027.0,99.99999727106153,1342,15.08543165467626
2025-02,8895,40265785889.0,8739,98.24620573355818,40265278338.0,99.99873949809052,1340,15.064643057897694
2025-03,8931,42009657076.0,8771,98.20848729145672,42009255255.0,99.99904350326099,1341,15.015115888478334
2025-04,8942,42562547868.0,8775,98.13240885707896,42562475694.0,99.99983042838454,1339,14.974278684857973
2025-05,8939,44839090356.0,8753,97.9192303389641,44838805588.0,99.99936491129115,1341,15.001678040049224
2025-06,8923,41207191908.0,8761,98.18446710747506,41207144281.0,99.99988442066106,1342,15.039784825731257
2025-07,9039,45788189509.0,8859,98.00862927314968,45788168170.0,99.9999533962792,1341,14.83571191503485
2025-08,9027,46338211751.0,8848,98.01705993131716,46338202668.0,99.99998039846672,1341,14.855433698903289
2025-09,9036,46896630120.0,8888,98.36210712704737,46896618861.0,99.99997599187836,1342,14.85170429393537
2025-10,8910,48527218778.0,8909,99.98877665544332,48527217755.0,99.99999789190474,1344,15.084175084175083
2025-11,8863,44009283331.0,8861,99.97743427733273,44009269582.0,99.99996875886413,1342,15.14159990973711
2025-12,8811,37611974627.0,8809,99.97730110089661,37611945211.0,99.99992179086503,1340,15.208262399273636
2026-01,8847,36550870693.0,8845,99.97739346671189,36550796303.0,99.99979647543658,1343,15.180287102972759
2026-02,8852,37457424679.0,8850,99.9774062358789,37457424679.0,100.0,1344,15.18300948938093
2026-03,8935,46213458487.0,8933,99.97761611639619,46213457974.0,99.99999888993376,1346,15.06435366536094
2026-04,8923,43235734328.0,8922,99.98879300683626,43235703635.0,99.99992901011055,1345,15.073405805222459
2026-05,8899,42780962717.0,8898,99.9887627823351,42780793202.0,99.99960376067008,1346,15.125294976963705
2026-06,8932,45273662241.0,8931,99.98880429914912,45273576512.0,99.99981064266561,1344,15.047021943573668
2026-07,8982,45994725438.0,8981,99.98886662213316,45994662440.0,99.99986303212076,1345,14.974393230906259
2026-08,8959,45156790373.0,8958,99.98883803995982,45156787945.0,99.99999462317854,1346,15.023998214086392
