period,emit_setor,int_rs,ouf,ext,demanda_rs,n_ncm,part_rs,dependencia_nt,taxonomy_snapshot,additivity_rule,natureza
2026-08,OUTROS METAL MECÂN.,2413358435.0,2374227900.0,362906381.0,5150492716.0,186,0.46856845899478794,FORA_DAS_FAIXAS_NT,2026-08,NAO_ADITIVO_ENTRE_SETORES_PORTFOLIO,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2026-08,MÁQUINAS E EQUIPAMENTOS,1903029111.0,2296903479.0,357458127.0,4557390717.0,210,0.41756988355229496,FORA_DAS_FAIXAS_NT,2026-08,NAO_ADITIVO_ENTRE_SETORES_PORTFOLIO,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2026-08,METALURGIA,2057211089.0,2129551173.0,245095929.0,4431858191.0,131,0.46418702953485363,FORA_DAS_FAIXAS_NT,2026-08,NAO_ADITIVO_ENTRE_SETORES_PORTFOLIO,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2026-08,PLÁSTICOS,1788724702.0,1823546111.0,366808190.0,3979079003.0,115,0.4495323416929905,FORA_DAS_FAIXAS_NT,2026-08,NAO_ADITIVO_ENTRE_SETORES_PORTFOLIO,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2026-08,ALIMENTOS,1781538194.0,1542993748.0,26030206.0,3350562148.0,81,0.5317132216345924,FORA_DAS_FAIXAS_NT,2026-08,NAO_ADITIVO_ENTRE_SETORES_PORTFOLIO,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2026-08,ELETROELETRÔNICO,951770621.0,1762272352.0,284101627.0,2998144600.0,135,0.3174532078939755,FORA_DAS_FAIXAS_NT,2026-08,NAO_ADITIVO_ENTRE_SETORES_PORTFOLIO,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2026-08,OUTROS QUÍMICOS,660068818.0,1389984356.0,310902055.0,2360955229.0,138,0.2795770160705576,MEDIA,2026-08,NAO_ADITIVO_ENTRE_SETORES_PORTFOLIO,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2026-08,PEÇAS E ACESSÓRIOS PARA VEÍCULOS,949447565.0,992786793.0,255304524.0,2197538882.0,47,0.4320504054680931,FORA_DAS_FAIXAS_NT,2026-08,NAO_ADITIVO_ENTRE_SETORES_PORTFOLIO,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2026-08,OUTRAS INDÚSTRIAS,1027698522.0,981096125.0,160636057.0,2169430704.0,80,0.47371806811119976,FORA_DAS_FAIXAS_NT,2026-08,NAO_ADITIVO_ENTRE_SETORES_PORTFOLIO,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2026-08,TÊXTIL,888276343.0,1129309431.0,147407691.0,2164993465.0,140,0.4102905423781499,FORA_DAS_FAIXAS_NT,2026-08,NAO_ADITIVO_ENTRE_SETORES_PORTFOLIO,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2026-08,FERTILIZANTES,1248275903.0,91089126.0,789476786.0,2128841815.0,9,0.5863638595430352,FORA_DAS_FAIXAS_NT,2026-08,NAO_ADITIVO_ENTRE_SETORES_PORTFOLIO,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2026-08,ARTEFATOS DOMÉSTICOS E FERRAMENTAS,468078529.0,731382775.0,86917875.0,1286379179.0,74,0.36387290515994897,FORA_DAS_FAIXAS_NT,2026-08,NAO_ADITIVO_ENTRE_SETORES_PORTFOLIO,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2026-08,BOVINOS,800550750.0,478935566.0,0.0,1279486316.0,6,0.6256813691472102,FORA_DAS_FAIXAS_NT,2026-08,NAO_ADITIVO_ENTRE_SETORES_PORTFOLIO,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2026-08,OUTROS PRODUTOS DE PAPEL,435717887.0,763896878.0,4828247.0,1204443012.0,30,0.36175882350505095,FORA_DAS_FAIXAS_NT,2026-08,NAO_ADITIVO_ENTRE_SETORES_PORTFOLIO,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2026-08,VESTUÁRIO,330282683.0,824714135.0,21779875.0,1176776693.0,120,0.28066725400381465,MEDIA,2026-08,NAO_ADITIVO_ENTRE_SETORES_PORTFOLIO,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
