period,emit_setor,int_rs,ouf,ext,demanda_rs,n_ncm,part_rs,dependencia_nt,taxonomy_snapshot,additivity_rule,natureza
2024-07,ALIMENTOS,1507851853.0,1430730998.0,56156865.0,2994739716.0,81,0.5035001355690439,FORA_DAS_FAIXAS_NT,2026-08,NAO_ADITIVO_ENTRE_SETORES_PORTFOLIO,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2024-07,ARROZ,247543987.0,26676819.0,260902867.0,535123673.0,4,0.4625921062550339,FORA_DAS_FAIXAS_NT,2026-08,NAO_ADITIVO_ENTRE_SETORES_PORTFOLIO,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2024-07,ARTEFATOS DOMÉSTICOS E FERRAMENTAS,483822849.0,789526802.0,91473215.0,1364822866.0,74,0.35449497590700535,FORA_DAS_FAIXAS_NT,2026-08,NAO_ADITIVO_ENTRE_SETORES_PORTFOLIO,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2024-07,AVES,269179166.0,81780079.0,0.0,350959245.0,10,0.7669812658731928,FORA_DAS_FAIXAS_NT,2026-08,NAO_ADITIVO_ENTRE_SETORES_PORTFOLIO,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2024-07,BIODIESEL,701011275.0,8836908.0,0.0,709848183.0,2,0.9875509887724824,FORA_DAS_FAIXAS_NT,2026-08,NAO_ADITIVO_ENTRE_SETORES_PORTFOLIO,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2024-07,BOVINOS,603990321.0,466517957.0,3403570.0,1073911848.0,6,0.5624207630494453,FORA_DAS_FAIXAS_NT,2026-08,NAO_ADITIVO_ENTRE_SETORES_PORTFOLIO,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2024-07,CALÇADOS E ARTEFATOS,444447846.0,234635760.0,7353035.0,686436641.0,14,0.6474710402296255,FORA_DAS_FAIXAS_NT,2026-08,NAO_ADITIVO_ENTRE_SETORES_PORTFOLIO,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2024-07,CERVEJA E CHOPP,124403874.0,117631541.0,3644876.0,245680291.0,2,0.5063648919237075,FORA_DAS_FAIXAS_NT,2026-08,NAO_ADITIVO_ENTRE_SETORES_PORTFOLIO,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2024-07,CHÁ E MATE,39821443.0,34319276.0,0.0,74140719.0,3,0.537106242522412,FORA_DAS_FAIXAS_NT,2026-08,NAO_ADITIVO_ENTRE_SETORES_PORTFOLIO,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2024-07,CIMENTO,255105784.0,127279327.0,338424.0,382723535.0,8,0.6665536886828766,FORA_DAS_FAIXAS_NT,2026-08,NAO_ADITIVO_ENTRE_SETORES_PORTFOLIO,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2024-07,COMBUSTÍVEIS E DERIVADOS,156726413.0,27479952.0,0.0,184206365.0,4,0.850819747732387,FORA_DAS_FAIXAS_NT,2026-08,NAO_ADITIVO_ENTRE_SETORES_PORTFOLIO,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2024-07,COSMÉTICOS,83590205.0,730951997.0,897679.0,815439881.0,17,0.10250934121285638,ALTA,2026-08,NAO_ADITIVO_ENTRE_SETORES_PORTFOLIO,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2024-07,CURTIMENTO DE COURO,109356680.0,62824500.0,8513840.0,180695020.0,15,0.6052002982705335,FORA_DAS_FAIXAS_NT,2026-08,NAO_ADITIVO_ENTRE_SETORES_PORTFOLIO,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2024-07,DEFENSIVOS AGRÍCOLAS,86104538.0,692178347.0,65006107.0,843288992.0,7,0.10210561126357025,ALTA,2026-08,NAO_ADITIVO_ENTRE_SETORES_PORTFOLIO,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2024-07,DESTILADOS,223945978.0,124901639.0,36187367.0,385034984.0,8,0.5816250141052118,FORA_DAS_FAIXAS_NT,2026-08,NAO_ADITIVO_ENTRE_SETORES_PORTFOLIO,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2024-07,ELETROELETRÔNICO,894355922.0,1660823976.0,261656509.0,2816836407.0,135,0.31750367887090436,FORA_DAS_FAIXAS_NT,2026-08,NAO_ADITIVO_ENTRE_SETORES_PORTFOLIO,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2024-07,EMBALAGENS,510970195.0,500776489.0,10777323.0,1022524007.0,23,0.4997146194143097,FORA_DAS_FAIXAS_NT,2026-08,NAO_ADITIVO_ENTRE_SETORES_PORTFOLIO,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2024-07,FERTILIZANTES,1053009543.0,85678086.0,1611621527.0,2750309156.0,9,0.3828695187603848,FORA_DAS_FAIXAS_NT,2026-08,NAO_ADITIVO_ENTRE_SETORES_PORTFOLIO,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2024-07,LEITE,420365894.0,261640020.0,0.0,682005914.0,14,0.6163669337330703,FORA_DAS_FAIXAS_NT,2026-08,NAO_ADITIVO_ENTRE_SETORES_PORTFOLIO,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2024-07,MADEIRAS,453339411.0,328559139.0,4345791.0,786244341.0,35,0.57658845648849,FORA_DAS_FAIXAS_NT,2026-08,NAO_ADITIVO_ENTRE_SETORES_PORTFOLIO,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2024-07,MEDICAMENTOS,27077509.0,805335979.0,181404.0,832594892.0,19,0.03252182935563818,CRITICA,2026-08,NAO_ADITIVO_ENTRE_SETORES_PORTFOLIO,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2024-07,METALURGIA,2075070370.0,2085504390.0,222325270.0,4382900030.0,130,0.47344688580542416,FORA_DAS_FAIXAS_NT,2026-08,NAO_ADITIVO_ENTRE_SETORES_PORTFOLIO,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2024-07,MÁQUINAS E EQUIPAMENTOS,1841595041.0,2128890342.0,316890986.0,4287376369.0,209,0.4295389260237815,FORA_DAS_FAIXAS_NT,2026-08,NAO_ADITIVO_ENTRE_SETORES_PORTFOLIO,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2024-07,MÓVEIS,553626244.0,389823189.0,9681742.0,953131175.0,20,0.580850001050485,FORA_DAS_FAIXAS_NT,2026-08,NAO_ADITIVO_ENTRE_SETORES_PORTFOLIO,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
2024-07,OUTRAS BEBIDAS,179033180.0,71657005.0,8130071.0,258820256.0,2,0.6917278530162647,FORA_DAS_FAIXAS_NT,2026-08,NAO_ADITIVO_ENTRE_SETORES_PORTFOLIO,DADO_CALCULADO_SOBRE_DADOS_OFICIAIS
