eixo,indicador,periodo,valor,unidade,geografia,natureza,universo_formula,fonte,limitacao
"Universo","Vínculos ativos válidos no universo primário","2024-12-31","13125","vínculos","São Borja","DADO CALCULADO","ativo_31_12=1 e vínculo_abandonado!=1","MTE/RAIS 2024 — RAIS SB 2024.csv; filtro reproduz v028","Vínculos formais; não pessoas únicas"
"Sexo","Homens","2024-12-31","7665","vínculos","São Borja","DADO CALCULADO","sexo=1 no universo primário","MTE/RAIS 2024 + Layout RAIS oficial: 1=Masculino","Vínculos, não pessoas únicas"
"Sexo","Homens — participação","2024-12-31","58.40","%","São Borja","DADO CALCULADO","7665/13125*100","MTE/RAIS 2024","Distribuição dos vínculos ativos válidos"
"Sexo","Mulheres","2024-12-31","5460","vínculos","São Borja","DADO CALCULADO","sexo=2 no universo primário","MTE/RAIS 2024 + Layout RAIS oficial: 2=Feminino","Vínculos, não pessoas únicas"
"Sexo","Mulheres — participação","2024-12-31","41.60","%","São Borja","DADO CALCULADO","5460/13125*100","MTE/RAIS 2024","Distribuição dos vínculos ativos válidos"
"Idade","Idade média","2024-12-31","39.60","anos","São Borja","DADO CALCULADO","média de Idade no universo primário","MTE/RAIS 2024","Média de vínculos; trabalhador com múltiplos vínculos pode aparecer mais de uma vez"
"Idade","Idade mediana","2024-12-31","38","anos","São Borja","DADO CALCULADO","mediana de Idade no universo primário","MTE/RAIS 2024","Mediana de vínculos"
"Idade","Até 24 anos — faixa SBMI","2024-12-31","12.42","%","São Borja","DADO CALCULADO","idade<25 / 13125","MTE/RAIS 2024","Faixa analítica criada pelo SBMI; não é nomenclatura oficial RAIS"
"Idade","25–34 anos — faixa SBMI","2024-12-31","27.06","%","São Borja","DADO CALCULADO","25<=idade<35 / 13125","MTE/RAIS 2024","Faixa analítica criada pelo SBMI"
"Idade","35–44 anos — faixa SBMI","2024-12-31","25.78","%","São Borja","DADO CALCULADO","35<=idade<45 / 13125","MTE/RAIS 2024","Faixa analítica criada pelo SBMI"
"Idade","45–54 anos — faixa SBMI","2024-12-31","19.82","%","São Borja","DADO CALCULADO","45<=idade<55 / 13125","MTE/RAIS 2024","Faixa analítica criada pelo SBMI"
"Idade","55 anos ou mais — faixa SBMI","2024-12-31","14.93","%","São Borja","DADO CALCULADO","idade>=55 / 13125","MTE/RAIS 2024","Faixa analítica criada pelo SBMI"
"Tempo de emprego","Tempo médio de emprego","2024-12-31","61.92","meses","São Borja","DADO CALCULADO","média de Tempo Emprego no universo primário","MTE/RAIS 2024 + layout local RAIS_vinculos_layout.xls","Campo é tempo de emprego do vínculo; média sensível a vínculos longos"
"Tempo de emprego","Tempo mediano de emprego","2024-12-31","28","meses","São Borja","DADO CALCULADO","mediana de Tempo Emprego no universo primário","MTE/RAIS 2024 + layout local RAIS_vinculos_layout.xls","Mediana de vínculos"
