id_credor,cnpj,nome_credor,pago_R$,classificacao,exact_situacao,exact_uf,exact_municipio_tom,exact_municipio_nome,root_local_active_count
7276,96488598000189,FUNDACAO IVAN GOULART,30769932.49,LOCAL_EXACT,02,RS,8863,SAO BORJA,2
51095,10690224000126,FUNDO DE PREVIDENCIA SOCIAL DO MUNICIPIO,24614724.46,LOCAL_EXACT,02,RS,8863,SAO BORJA,1
70435,00394460005887,MINISTERIO DA FAZENDA,6989477.78,EXTERNAL_NO_LOCAL_FOOTPRINT,02,DF,9701,BRASILIA,0
84645,02885855000172,BADESUL DESENVOLVIMENTO S/A AGENCIA DE F,4934023.77,EXTERNAL_NO_LOCAL_FOOTPRINT,02,RS,8801,PORTO ALEGRE,0
50643,90791997000138,CAMARA MUNICIPAL DE VEREADORES DE SAO BO,4771240.77,LOCAL_EXACT,02,RS,8863,SAO BORJA,1
142280,30483455000176,INSTITUTO DE ASSISTENCIA A SAUDE DOS SER,4660192.88,EXTERNAL_NO_LOCAL_FOOTPRINT,02,RS,8801,PORTO ALEGRE,0
57556,06136424000164,ECO VERDE PRESTAÇÃO DE SERVIÇO DE COLETA,3835552.81,ROOT_WITH_LOCAL_FOOTPRINT,02,RS,7309,VILA MARIA,1
3251,00360305050632,CAIXA ECONOMICA FEDERAL,3491370.03,LOCAL_EXACT,02,RS,8863,SAO BORJA,1
54776,02016440000162,RGE SUL DISTRIBUIDORA DE ENERGIA S.A.,2532902.52,ROOT_WITH_LOCAL_FOOTPRINT,02,RS,8877,SAO LEOPOLDO,5
2639,90791922000157,ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIO,2013017.02,LOCAL_EXACT,02,RS,8863,SAO BORJA,1
18287,94282845000160,TRANSPORTE INTEGRAÇÃO URBANA LTDA,1926982.88,LOCAL_EXACT,02,RS,8863,SAO BORJA,1
131255,89522064000166,RIO GRANDE DO SUL PODER JUDICIARIO,1916801.16,ROOT_WITH_LOCAL_FOOTPRINT,02,RS,8801,PORTO ALEGRE,1
60757,18728542000140,HIPERTEX SERVICOS DE CONCRETAGEM LTDA,1880196.43,ROOT_WITH_LOCAL_FOOTPRINT,02,RS,8847,SANTA ROSA,1
47150,02453554000170,MERCOSERVICE PRESTAÇÃO DE SERVIÇOS LTDA,1404762.24,LOCAL_EXACT,02,RS,8863,SAO BORJA,1
152122,26994285000117,TOPOCART TOPOGRAFIA ENGENHARIA E AEROLEV,1315860.88,EXTERNAL_NO_LOCAL_FOOTPRINT,02,DF,9701,BRASILIA,0
150294,44233812000152,ZAGONEL ILUMINACAO S.A.,1221733.83,EXTERNAL_NO_LOCAL_FOOTPRINT,02,SC,8253,PINHALZINHO,0
137032,33729746000190,PGR ATERRO SANITARIO E TRATAMENTOS DE RE,1189025.76,LOCAL_EXACT,02,RS,8863,SAO BORJA,1
117153,76669670000167,TRANSVEPAR TRANSPORTES E VEICULOS PARANÁ,950378.99,EXTERNAL_NO_LOCAL_FOOTPRINT,02,PR,7535,CURITIBA,0
152276,43463101000101,ABF DISTRIBUIDORA DE ALIMENTOS LTDA,820642.47,EXTERNAL_NO_LOCAL_FOOTPRINT,02,RS,1008,NOVO CABRAIS,0
96965,14767899000187,GRA ASSESSORIA E CONSULTORIA EMNEGOCIOS,793985.5,EXTERNAL_NO_LOCAL_FOOTPRINT,02,RS,8955,VENANCIO AIRES,0
146254,05340639000130,PRIME CONSULTORIA E ASSESSORIA EMPRESARI,702005.12,EXTERNAL_NO_LOCAL_FOOTPRINT,02,SP,6213,BARUERI,0
63092,91572792000205,ASSOCIACAO ESPIRITA DR FERREIRA DE MORAE,698153.84,LOCAL_EXACT,02,RS,8863,SAO BORJA,3
