fonte,produto,referencia_ou_atualizacao,geografia,granularidade,recurso_ou_layout,status_acesso,status_extracao,uso_sbmi,limitacao,url
"Receita Federal / Simples Nacional","SINAC — Optantes por UF e Município","posição consolidada até 12/09/2026","Brasil / UF / Município","município","formulário web oficial","LIVE_FORM_CONFIRMED","SAO_BORJA_VALUE_PENDING","Fechar estoque de optantes do Simples por município","Formulário exige seleção; nenhum valor de São Borja aceito sem extração reproduzível","https://www8.receita.fazenda.gov.br/simplesnacional/aplicacoes/atbhe/estatisticassinac.app/EstatisticasOptantesPorDataMunicipio.aspx?tipoConsulta=1"
"Receita Federal / Simples Nacional","SINAC — Optantes por CNAE, UF e Município","posição consolidada até 12/09/2026","Brasil / UF / Município / CNAE","município+CNAE","formulário web oficial","LIVE_FORM_CONFIRMED","SAO_BORJA_VALUE_PENDING","Estrutura setorial dos optantes do Simples","Nenhum valor municipal aceito sem submissão reproduzível","https://www8.receita.fazenda.gov.br/simplesnacional/aplicacoes/atbhe/estatisticassinac.app/EstatisticasOptantesPorCNAE.aspx?tipoConsulta=1"
"Receita Federal / Simples Nacional","SIMEI — Optantes por UF e Município","posição consolidada até 12/09/2026","Brasil / UF / Município","município","formulário web oficial","LIVE_FORM_CONFIRMED","SAO_BORJA_VALUE_PENDING","Fechar estoque oficial de MEI","Cross-check de 3.829 permanece não aceito até reprodução primária","https://www8.receita.fazenda.gov.br/simplesnacional/aplicacoes/atbhe/estatisticassinac.app/EstatisticasOptantesPorDataMunicipio.aspx?optanteSimei=&tipoConsulta=2"
"Receita Federal / Simples Nacional","SIMEI — Eventos de enquadramento/desenquadramento","posição consolidada até 18/09/2026","Brasil / UF / Município","município","formulário web oficial","LIVE_FORM_CONFIRMED","SAO_BORJA_VALUE_PENDING","Demografia do regime MEI como contexto complementar","Data de consolidação difere da página de estoque de optantes; não misturar snapshots","https://www8.receita.fazenda.gov.br/SimplesNacional/Aplicacoes/ATBHE/estatisticasSinac.app/DesenquadramentoSimei.aspx"
"Ministério do Turismo / Cadastur","Meios de Hospedagem — Segundo Trimestre de 2026","02/07/2026","Brasil / município","prestador cadastrado","XLSX; recurso CKAN 7e385ec2-57d8-446c-9cc0-f5f7dadd1fdf; 6.755.085 bytes","RESOURCE_METADATA_CONFIRMED","SAO_BORJA_VALUES_EXTRACTED","Validar oferta formal de hospedagem em São Borja","2 meios Regular/Operação, 90 UHs e 180 leitos extraídos; cadastro não mede ocupação nem demanda","https://dados.turismo.gov.br/pt_BR/dataset/meios-de-hospedagem/resource/7e385ec2-57d8-446c-9cc0-f5f7dadd1fdf"
"ANP","Revendedores varejistas de combustíveis automotivos em operação","18/09/2026 07:50","Brasil / município","revendedor autorizado","CSV com CODIGOISIMP; AUTORIZACAO; CNPJ; UF; MUNICIPIO; BANDEIRA etc.","CURRENT_CSV_CONFIRMED","SAO_BORJA_VALUES_EXTRACTED","Estrutura atual de abastecimento e mobilidade","10 registros em operação extraídos; contagem por bandeira não mede vendas nem origem do consumidor","https://www.gov.br/anp/pt-br/centrais-de-conteudo/dados-abertos/dados-cadastrais-dos-revendedores-varejistas-de-combustiveis-automotivos"
"ANP","Vendas anuais de Gasolina C por município","arquivo atualizado 05/01/2026; série 1990-2024","Brasil / município","município-ano","ANO; REGIÃO; UF; PRODUTO; CÓDIGO IBGE; MUNICÍPIO; VENDAS; unidade litro","SERIES_CONFIRMED","SAO_BORJA_VALUES_EXTRACTED_2023_2024","Proxy complementar de mobilidade/abastecimento","Gasolina C, etanol, diesel e GLP extraídos para 2023-2024; não distinguem residente, visitante ou transportador","https://www.gov.br/anp/pt-br/centrais-de-conteudo/dados-abertos/arquivos/vdpb/vaehdpm/gasolina-c"
"MDIC / SECEX","Comex Stat — exportações por município e SH4","página atualizada 04/09/2026; dados jan-ago/2026","Brasil / município / SH4","município fiscal+SH4+mês+país","CO_ANO; CO_MES; SH4; CO_PAIS; SG_UF_MUN; CO_MUN; KG_LIQUIDO; VL_FOB","DIRECT_CSV_LINK_CONFIRMED","DOWNLOAD_TIMEOUT","Inserção internacional de empresas domiciliadas em São Borja","Município é domicílio fiscal do exportador; SH4 não NCM8","https://balanca.mdic.gov.br/balanca/bd/comexstat-bd/mun/EXP_2026_MUN.csv"
"MDIC / SECEX","Comex Stat — importações por município e SH4","página atualizada 04/09/2026; dados jan-ago/2026","Brasil / município / SH4","município fiscal+SH4+mês+país","CO_ANO; CO_MES; SH4; CO_PAIS; SG_UF_MUN; CO_MUN; KG_LIQUIDO; VL_FOB","DIRECT_CSV_LINK_CONFIRMED","DOWNLOAD_TIMEOUT","Importações declaradas por empresas domiciliadas em São Borja","Município é domicílio fiscal do importador; não implica consumo local","https://balanca.mdic.gov.br/balanca/bd/comexstat-bd/mun/IMP_2026_MUN.csv"
"ANTT","Anuário TRC 2025 — principais fronteiras rodoviárias","2023-2025","principais fronteiras do Brasil","ponto de fronteira-ano","Tabela 10 — volume de exportação em toneladas; fonte Comex Stat/MDIC","OFFICIAL_PDF_DATA_CONFIRMED","SAO_BORJA_VALUES_EXTRACTED","Quantificar a função do corredor de São Borja nas exportações rodoviárias","Exportações em toneladas no ponto de fronteira não medem importações, veículos, gasto local ou valor capturado","https://www.gov.br/antt/pt-br/assuntos/cargas/dadostrc/anuario_trc_2025_antt.pdf"
