exercise,contract_number,portal_row_id,analytical_object_family
"2021","3/2021","453","COVID — apoio de custeio/pessoal"
"2021","7/2021","460","COVID — apoio de custeio/pessoal"
"2021","15/2021","469","COVID — apoio de custeio/pessoal"
"2021","28/2021","483","COVID — apoio de custeio/pessoal"
"2021","56/2021","511","Diagnóstico por imagem"
"2021","99/2021","558","Serviços hospitalares gerais"
"2022","7/2022","568","Sobreaviso médico de urgência/emergência"
"2022","20/2022","581","Locação de imóvel — não assistencial"
"2022","117/2022","678","Diagnóstico por imagem"
"2022","124/2022","685","Doença renal/hemodiálise"
"2023","20/2023","768","Repasse federal — objeto financeiro"
"2023","146/2023","898","Diagnóstico por imagem"
"2024","105/2024","1068","Diagnóstico por imagem"
"2025","138/2025","1462","Incentivo à residência médica"
