year,licitacao_id,modalidade,numero,codigo,objeto,situacao
2019,261,CHAMAMENTO PÚBLICO/CREDENCIAMENTO,1/2019,170,"Chamamento Público para Credenciamento de Empresas para Fornecimento de Aparelhos de Amplificação Sonora Individual  AASI, a fim de atender aos usuários do CER II, de São Borja / RS",Julgada
2019,13,TOMADA DE PREÇO,1/2019,5,Contratação de empresa especializada do ramo de engenharia civil para EXECUÇÃO DE OBRAS DE REFORMA E AMPLIAÇÃO DA CASA DE ACOLHIDA.,Em Andamento
2019,271,CONCORRÊNCIA,1/2019,180,contratação de empresa para execução dos Serviços de Coleta Convencional e Coleta Seletiva de Resíduos Sólidos Urbanos no Município de São Borja.,Homologada
2019,12,DISPENSA DE LICITAÇÃO,1/2019,4,"Prestação de serviços de publicações oficiais em âmbito nacional de editais de licitação, dispensas, inexigibilidades, extratos de contratos, editais de chamamentos público, entre outros, expedidos pelo Município de São Borja, conforme institui a Lei 8.666/1993 no seu Art. 21, inciso I, dispensada a licitação conforme Art. 24, VIII, da Lei 8.666/93",Julgada
2019,11,PREGÃO PRESENCIAL,1/2019,3,"Contratação de empresa para reforma do motor da VTR 154  CAMINHÃO CAÇAMBA, MARCA MERCEDES BENZ 6x2, MODELO L-1620, PLACAS INX 1130, ANO 2007, conforme Laudo Técnico nº 317/2019",Homologada
2019,136,CHAMADA PÚBLICA/PNAE,1/2019,50,"Aquisição de gêneros alimentícios diretamente da Agricultura Familiar e do Empreendedor Familiar Rural, para o atendimento ao Programa Nacional de Alimentação Escolar-PNAE",Homologada
2019,232,REGISTRO DE PREÇO DE OUTRO ÓRGÃO,1/2019,141,"Registro de Preços para a Adesão PARCIAL a Ata de Registro de Preços nº 58/2019 do Pregão Presencial 091/2019 realizado pela CM GRAMPAL - Consórcio do Municípios da Região Metropolitana de Porto Alegre de acordo com a Lei nº 5.042/2015 e ofício de concordância da empresa Credicar Locadora de Veículo Ltda, CNPJ 22.257.109/0001-41, a qual foi a vencedora do certame citado.",Homologada
2019,18,INEXIGIBILIDADE,1/2019,10,Inexigibilidade de licitação para fornecimento de telefonia fixa para os prédios próprios do Município.,Julgada
2019,14,DISPENSA DE LICITAÇÃO,2/2019,6,"Dispensa de licitação para prestação de serviços de publicações em âmbito estadual de editais de licitação, dispensas, inexigibilidades, extratos de contratos, editais de chamamentos público, entre outros, expedidos pelo Município de São Borja, conforme institui a Lei 8.666/93 no seu Art. 21, inciso II, dispensada a licitação conforme art. 24, VIII, da Lei 8.666/1993.",Julgada
2019,106,INEXIGIBILIDADE,2/2019,23,"Inexigibilidade de Licitação para divulgação, em jornal de circulação bissemanal, das atividades do Município, pertinente a seus projetos, programas, eventos, notícias, prestação de contas, entre outros.",Julgada
2019,266,CHAMAMENTO PÚBLICO/CREDENCIAMENTO,2/2019,175,"Chamamento Público para Credenciamento de Empresas para fornecimento de Órteses, Próteses e Meios Auxiliares de Locomoção  OPM  destinadas aos usuários do Centro Especializado Em Reabilitação Física E Auditiva De São Borja/Rs",Julgada
2019,19,PREGÃO PRESENCIAL,2/2019,11,"Contratação de empresa para reforma do motor da VTR 185  CAMINHÃO CAÇAMBA, MARCA MERCEDES BENZ 6X2, MODELO L-1620, PLACAS IRC 2662, ANO 2010, conforme Laudo Técnico n. 014/2019, termo de referência e solicitação de compra n. 301/2019.",Homologada
2019,20,TOMADA DE PREÇO,2/2019,12,Contratação de empresa especializada do ramo de Engenharia Civil para construção da Usina de Leite Cristo Redentor.,Em Andamento
2019,15,DISPENSA DE LICITAÇÃO,3/2019,7,"Dispensa de licitação para contratação dos serviços de saneamento básico nos prédios próprios do Município, com fornecimento de água e esgoto",Julgada
2019,22,TOMADA DE PREÇO,3/2019,13,"Contratação de empresa especializada do ramo de engenharia para IMPLANTAÇÃO/RECUPERAÇÃO DE ESTRADAS VICINAIS NO PA CONQUISTA DAS MISSÕES, VISANDO ATENDER O CONVÊNIO Nº 830830/2016.",Em Andamento
2019,23,PREGÃO PRESENCIAL,3/2019,14,Registro de preço de bandeiras e mastros para as EMEIs e EMEFS,Homologada
2019,107,INEXIGIBILIDADE,3/2019,24,"Inexigibilidade de Licitação para contratação de espaço publicitário em rádio destinado ao Programa Institucional do Município denominado Bom dia Cidade, para divulgação dos projetos, programas, eventos e notícias e demais informações de interesse público.",Julgada
2019,111,INEXIGIBILIDADE,4/2019,28,"Inexigibilidade de Licitação para serviços de publicidade legal. Publicação em jornal de circulação bissemanal, às quartas e sábados, no âmbito do município de São Borja.",Homologada
2019,24,PREGÃO PRESENCIAL,4/2019,15,Registro de preço de mobiliário para as EMEIS.,Em Andamento
2019,16,DISPENSA DE LICITAÇÃO,4/2019,8,Dispensa de licitação para contratação dos serviços de distribuição de energia elétrica para os prédios do Município.,Julgada
2019,128,TOMADA DE PREÇO,4/2019,42,"Contratação de empresa especializada do ramo de Engenharia Civil, construção da quadra esportiva escolar coberta no CETIM Neuza Goulart Brizola",Em Andamento
2019,25,PREGÃO PRESENCIAL,5/2019,16,"Registro de Preços de materiais de cama, mesa e banho para atendimento às demandas das escolas municipais.",Homologada
2019,17,DISPENSA DE LICITAÇÃO,5/2019,9,Dispensa de licitação para contratação dos serviços de distribuição de energia elétrica para iluminação pública,Julgada
