year,modalidade,situacao,n_processos
2019,CHAMADA PÚBLICA/PNAE,Homologada,1
2019,CHAMAMENTO PÚBLICO/CREDENCIAMENTO,Julgada,2
2019,CONCORRÊNCIA,Homologada,1
2019,DISPENSA DE LICITAÇÃO,Homologada,3
2019,DISPENSA DE LICITAÇÃO,Julgada,15
2019,INEXIGIBILIDADE,Homologada,5
2019,INEXIGIBILIDADE,Julgada,10
2019,PREGÃO PRESENCIAL,Em Andamento,11
2019,PREGÃO PRESENCIAL,Fracassada,1
2019,PREGÃO PRESENCIAL,Homologada,94
2019,PREGÃO PRESENCIAL,Julgada,2
2019,REGISTRO DE PREÇO DE OUTRO ÓRGÃO,Homologada,1
2019,TOMADA DE PREÇO,Deserta,1
2019,TOMADA DE PREÇO,Em Andamento,17
2019,TOMADA DE PREÇO,Fracassada,1
2019,TOMADA DE PREÇO,Homologada,12
2019,TOMADA DE PREÇO,Julgada,1
2019,TOMADA DE PREÇO,Revogada,1
2020,CHAMADA PÚBLICA/PNAE,Homologada,5
2020,CHAMAMENTO PÚBLICO/CREDENCIAMENTO,Julgada,2
2020,CONCORRÊNCIA,Homologada,1
2020,DISPENSA DE LICITAÇÃO,Homologada,88
2020,DISPENSA DE LICITAÇÃO,Julgada,2
2020,INEXIGIBILIDADE,Homologada,15
2020,INEXIGIBILIDADE,Julgada,1
2020,PREGÃO ELETRONICO,Anulada,1
2020,PREGÃO ELETRONICO,Em Andamento,1
2020,PREGÃO ELETRONICO,Fracassada,1
2020,PREGÃO ELETRONICO,Homologada,46
2020,PREGÃO ELETRONICO,Revogada,1
2020,PREGÃO PRESENCIAL,Em Andamento,4
2020,PREGÃO PRESENCIAL,Homologada,24
2020,REGISTRO DE PREÇO DE OUTRO ÓRGÃO,Homologada,2
2020,TOMADA DE PREÇO,Deserta,2
2020,TOMADA DE PREÇO,Em Andamento,5
2020,TOMADA DE PREÇO,Fracassada,2
2020,TOMADA DE PREÇO,Homologada,15
2021,CHAMADA PÚBLICA/PNAE,Homologada,4
2021,CHAMAMENTO PÚBLICO/CREDENCIAMENTO,Em Andamento,1
2021,CHAMAMENTO PÚBLICO/CREDENCIAMENTO,Homologada,4
2021,CONCORRÊNCIA,Em Andamento,1
