year,function,stage,value_R$,source,nature
2019,01 - Legislativa,Despesas Empenhadas,6648396.81,SICONFI DCA Anexo I-E,observed
2019,04 - Administração,Despesas Empenhadas,23201403.0,SICONFI DCA Anexo I-E,observed
2019,06 - Segurança Pública,Despesas Empenhadas,864558.34,SICONFI DCA Anexo I-E,observed
2019,08 - Assistência Social,Despesas Empenhadas,5190198.99,SICONFI DCA Anexo I-E,observed
2019,09 - Previdência Social,Despesas Empenhadas,23515729.76,SICONFI DCA Anexo I-E,observed
2019,10 - Saúde,Despesas Empenhadas,57819895.69,SICONFI DCA Anexo I-E,observed
2019,11 - Trabalho,Despesas Empenhadas,25154.86,SICONFI DCA Anexo I-E,observed
2019,12 - Educação,Despesas Empenhadas,45582500.6,SICONFI DCA Anexo I-E,observed
2019,13 - Cultura,Despesas Empenhadas,571673.27,SICONFI DCA Anexo I-E,observed
2019,14 - Direitos da Cidadania,Despesas Empenhadas,1688.56,SICONFI DCA Anexo I-E,observed
2019,15 - Urbanismo,Despesas Empenhadas,12381361.79,SICONFI DCA Anexo I-E,observed
2019,16 - Habitação,Despesas Empenhadas,3639.22,SICONFI DCA Anexo I-E,observed
2019,17 - Saneamento,Despesas Empenhadas,63989.78,SICONFI DCA Anexo I-E,observed
2019,18 - Gestão Ambiental,Despesas Empenhadas,25203.29,SICONFI DCA Anexo I-E,observed
2019,20 - Agricultura,Despesas Empenhadas,753755.45,SICONFI DCA Anexo I-E,observed
2019,23 - Comércio e Serviços,Despesas Empenhadas,418411.16,SICONFI DCA Anexo I-E,observed
2019,26 - Transporte,Despesas Empenhadas,2042227.03,SICONFI DCA Anexo I-E,observed
2019,27 - Desporto e Lazer,Despesas Empenhadas,232798.16,SICONFI DCA Anexo I-E,observed
2019,28 - Encargos Especiais,Despesas Empenhadas,8057604.26,SICONFI DCA Anexo I-E,observed
2019,01 - Legislativa,Despesas Liquidadas,6540420.84,SICONFI DCA Anexo I-E,observed
2019,04 - Administração,Despesas Liquidadas,22883738.67,SICONFI DCA Anexo I-E,observed
2019,06 - Segurança Pública,Despesas Liquidadas,849274.79,SICONFI DCA Anexo I-E,observed
2019,08 - Assistência Social,Despesas Liquidadas,4937465.94,SICONFI DCA Anexo I-E,observed
2019,09 - Previdência Social,Despesas Liquidadas,23515726.63,SICONFI DCA Anexo I-E,observed
2019,10 - Saúde,Despesas Liquidadas,55380875.98,SICONFI DCA Anexo I-E,observed
2019,11 - Trabalho,Despesas Liquidadas,25154.86,SICONFI DCA Anexo I-E,observed
2019,12 - Educação,Despesas Liquidadas,45406333.21,SICONFI DCA Anexo I-E,observed
2019,13 - Cultura,Despesas Liquidadas,566152.59,SICONFI DCA Anexo I-E,observed
2019,14 - Direitos da Cidadania,Despesas Liquidadas,1270.14,SICONFI DCA Anexo I-E,observed
2019,15 - Urbanismo,Despesas Liquidadas,10364889.01,SICONFI DCA Anexo I-E,observed
2019,16 - Habitação,Despesas Liquidadas,3639.22,SICONFI DCA Anexo I-E,observed
2019,17 - Saneamento,Despesas Liquidadas,56205.77,SICONFI DCA Anexo I-E,observed
2019,18 - Gestão Ambiental,Despesas Liquidadas,23734.27,SICONFI DCA Anexo I-E,observed
2019,20 - Agricultura,Despesas Liquidadas,323401.16,SICONFI DCA Anexo I-E,observed
2019,23 - Comércio e Serviços,Despesas Liquidadas,147934.97,SICONFI DCA Anexo I-E,observed
2019,26 - Transporte,Despesas Liquidadas,1732735.33,SICONFI DCA Anexo I-E,observed
2019,27 - Desporto e Lazer,Despesas Liquidadas,228028.16,SICONFI DCA Anexo I-E,observed
2019,28 - Encargos Especiais,Despesas Liquidadas,8057604.26,SICONFI DCA Anexo I-E,observed
2019,01 - Legislativa,Despesas Pagas,6540420.84,SICONFI DCA Anexo I-E,observed
2019,04 - Administração,Despesas Pagas,22305770.26,SICONFI DCA Anexo I-E,observed
2019,06 - Segurança Pública,Despesas Pagas,838043.85,SICONFI DCA Anexo I-E,observed
2019,08 - Assistência Social,Despesas Pagas,4796282.02,SICONFI DCA Anexo I-E,observed
2019,09 - Previdência Social,Despesas Pagas,23515701.78,SICONFI DCA Anexo I-E,observed
2019,10 - Saúde,Despesas Pagas,53204294.85,SICONFI DCA Anexo I-E,observed
2019,11 - Trabalho,Despesas Pagas,25154.86,SICONFI DCA Anexo I-E,observed
2019,12 - Educação,Despesas Pagas,44901688.48,SICONFI DCA Anexo I-E,observed
2019,13 - Cultura,Despesas Pagas,543937.62,SICONFI DCA Anexo I-E,observed
2019,14 - Direitos da Cidadania,Despesas Pagas,1190.87,SICONFI DCA Anexo I-E,observed
2019,15 - Urbanismo,Despesas Pagas,10053778.69,SICONFI DCA Anexo I-E,observed
2019,16 - Habitação,Despesas Pagas,3639.22,SICONFI DCA Anexo I-E,observed
2019,17 - Saneamento,Despesas Pagas,56205.77,SICONFI DCA Anexo I-E,observed
2019,18 - Gestão Ambiental,Despesas Pagas,16826.27,SICONFI DCA Anexo I-E,observed
2019,20 - Agricultura,Despesas Pagas,323116.16,SICONFI DCA Anexo I-E,observed
2019,23 - Comércio e Serviços,Despesas Pagas,147934.97,SICONFI DCA Anexo I-E,observed
2019,26 - Transporte,Despesas Pagas,1732539.83,SICONFI DCA Anexo I-E,observed
2019,27 - Desporto e Lazer,Despesas Pagas,215107.26,SICONFI DCA Anexo I-E,observed
2019,28 - Encargos Especiais,Despesas Pagas,7649689.9,SICONFI DCA Anexo I-E,observed
2020,01 - Legislativa,Despesas Empenhadas,6732803.27,SICONFI DCA Anexo I-E,observed
2020,04 - Administração,Despesas Empenhadas,22416313.02,SICONFI DCA Anexo I-E,observed
2020,06 - Segurança Pública,Despesas Empenhadas,599558.03,SICONFI DCA Anexo I-E,observed
2020,08 - Assistência Social,Despesas Empenhadas,6060155.61,SICONFI DCA Anexo I-E,observed
2020,09 - Previdência Social,Despesas Empenhadas,23833377.22,SICONFI DCA Anexo I-E,observed
2020,10 - Saúde,Despesas Empenhadas,67671545.85,SICONFI DCA Anexo I-E,observed
2020,12 - Educação,Despesas Empenhadas,44869379.67,SICONFI DCA Anexo I-E,observed
2020,13 - Cultura,Despesas Empenhadas,854568.06,SICONFI DCA Anexo I-E,observed
2020,14 - Direitos da Cidadania,Despesas Empenhadas,1500.59,SICONFI DCA Anexo I-E,observed
2020,15 - Urbanismo,Despesas Empenhadas,15481504.77,SICONFI DCA Anexo I-E,observed
2020,16 - Habitação,Despesas Empenhadas,6621.57,SICONFI DCA Anexo I-E,observed
2020,17 - Saneamento,Despesas Empenhadas,698795.34,SICONFI DCA Anexo I-E,observed
2020,18 - Gestão Ambiental,Despesas Empenhadas,159021.98,SICONFI DCA Anexo I-E,observed
2020,20 - Agricultura,Despesas Empenhadas,742306.28,SICONFI DCA Anexo I-E,observed
2020,23 - Comércio e Serviços,Despesas Empenhadas,584359.15,SICONFI DCA Anexo I-E,observed
2020,26 - Transporte,Despesas Empenhadas,287460.33,SICONFI DCA Anexo I-E,observed
2020,27 - Desporto e Lazer,Despesas Empenhadas,671563.32,SICONFI DCA Anexo I-E,observed
2020,28 - Encargos Especiais,Despesas Empenhadas,9047698.11,SICONFI DCA Anexo I-E,observed
2020,01 - Legislativa,Despesas Liquidadas,6338685.46,SICONFI DCA Anexo I-E,observed
2020,04 - Administração,Despesas Liquidadas,22393943.24,SICONFI DCA Anexo I-E,observed
2020,06 - Segurança Pública,Despesas Liquidadas,547708.26,SICONFI DCA Anexo I-E,observed
2020,08 - Assistência Social,Despesas Liquidadas,6049470.65,SICONFI DCA Anexo I-E,observed
2020,09 - Previdência Social,Despesas Liquidadas,23833377.22,SICONFI DCA Anexo I-E,observed
2020,10 - Saúde,Despesas Liquidadas,65554716.1,SICONFI DCA Anexo I-E,observed
2020,12 - Educação,Despesas Liquidadas,43776892.15,SICONFI DCA Anexo I-E,observed
2020,13 - Cultura,Despesas Liquidadas,851523.82,SICONFI DCA Anexo I-E,observed
2020,14 - Direitos da Cidadania,Despesas Liquidadas,1500.59,SICONFI DCA Anexo I-E,observed
2020,15 - Urbanismo,Despesas Liquidadas,12046802.14,SICONFI DCA Anexo I-E,observed
2020,16 - Habitação,Despesas Liquidadas,6621.57,SICONFI DCA Anexo I-E,observed
2020,17 - Saneamento,Despesas Liquidadas,619018.54,SICONFI DCA Anexo I-E,observed
2020,18 - Gestão Ambiental,Despesas Liquidadas,46220.05,SICONFI DCA Anexo I-E,observed
2020,20 - Agricultura,Despesas Liquidadas,627297.28,SICONFI DCA Anexo I-E,observed
2020,23 - Comércio e Serviços,Despesas Liquidadas,218470.32,SICONFI DCA Anexo I-E,observed
2020,26 - Transporte,Despesas Liquidadas,129235.27,SICONFI DCA Anexo I-E,observed
2020,27 - Desporto e Lazer,Despesas Liquidadas,484161.57,SICONFI DCA Anexo I-E,observed
