_annex_requested,_exercise,_keyword_hits,anexo,cod_conta,cod_ibge,coluna,conta,exercicio,instituicao,populacao,rotulo,uf,valor
DCA-Anexo I-C,2019,FUNDEB,DCA-Anexo I-C,ReceitasExcetoIntraOrcamentarias,4318002,Deduções - FUNDEB,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,17685826.44
DCA-Anexo I-C,2019,FUNDEB,DCA-Anexo I-C,RO1.0.0.0.00.0.0,4318002,Deduções - FUNDEB,1.0.0.0.00.0.0 - Receitas Correntes,2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,17685826.44
DCA-Anexo I-C,2019,JUROS,DCA-Anexo I-C,RO1.3.2.1.00.0.0,4318002,Receitas Brutas Realizadas,1.3.2.1.00.0.0 - Juros e Correções Monetárias,2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,12957804.58
DCA-Anexo I-C,2019,PREVID,DCA-Anexo I-C,RO1.3.2.1.00.4.0,4318002,Receitas Brutas Realizadas,1.3.2.1.00.4.0 - Remuneração dos Recursos do Regime Próprio de Previdência Social - RPPS,2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,12449606.02
DCA-Anexo I-C,2019,JUROS,DCA-Anexo I-C,RO1.3.2.1.00.5.0,4318002,Receitas Brutas Realizadas,1.3.2.1.00.5.0 - Juros de Títulos de Renda,2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,204226.39
DCA-Anexo I-C,2019,TRANSFERENCIAS CORRENTES,DCA-Anexo I-C,RO1.7.0.0.00.0.0,4318002,Receitas Brutas Realizadas,1.7.0.0.00.0.0 - Transferências Correntes,2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,160074494.3
DCA-Anexo I-C,2019,FUNDEB|TRANSFERENCIAS CORRENTES,DCA-Anexo I-C,RO1.7.0.0.00.0.0,4318002,Deduções - FUNDEB,1.7.0.0.00.0.0 - Transferências Correntes,2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,17685826.44
DCA-Anexo I-C,2019,TRANSFERENCIAS CORRENTES,DCA-Anexo I-C,RO1.7.0.0.00.0.0,4318002,Outras Deduções da Receita,1.7.0.0.00.0.0 - Transferências Correntes,2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,155.69
DCA-Anexo I-C,2019,FUNDEB,DCA-Anexo I-C,RO1.7.1.0.00.0.0,4318002,Deduções - FUNDEB,1.7.1.0.00.0.0 - Transferências da União e de suas Entidades,2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,7095806.32
DCA-Anexo I-C,2019,FUNDEB,DCA-Anexo I-C,RO1.7.1.8.00.0.0,4318002,Deduções - FUNDEB,"1.7.1.8.00.0.0 Transferências da União - Específicas de Estados, DF e Municípios",2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,7095806.32
