year,annex,rows,pages,status
2019,DCA-Anexo I-C,178,1,OK
2019,DCA-Anexo I-D,231,1,OK
2019,DCA-Anexo I-E,269,1,OK
2020,DCA-Anexo I-C,185,1,OK
2020,DCA-Anexo I-D,248,1,OK
2020,DCA-Anexo I-E,251,1,OK
2021,DCA-Anexo I-C,193,1,OK
2021,DCA-Anexo I-D,236,1,OK
2021,DCA-Anexo I-E,261,1,OK
2022,DCA-Anexo I-C,204,1,OK
2022,DCA-Anexo I-D,241,1,OK
2022,DCA-Anexo I-E,266,1,OK
2023,DCA-Anexo I-C,207,1,OK
2023,DCA-Anexo I-D,261,1,OK
2023,DCA-Anexo I-E,283,1,OK
2024,DCA-Anexo I-C,205,1,OK
2024,DCA-Anexo I-D,266,1,OK
2024,DCA-Anexo I-E,280,1,OK
2025,DCA-Anexo I-C,202,1,OK
2025,DCA-Anexo I-D,264,1,OK
2025,DCA-Anexo I-E,281,1,OK
