_annex_requested,_exercise,anexo,cod_conta,cod_ibge,coluna,conta,exercicio,rotulo
DCA-Anexo I-C,2019,DCA-Anexo I-C,ReceitasExcetoIntraOrcamentarias,4318002,Receitas Brutas Realizadas,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),2019,Padrão
DCA-Anexo I-C,2019,DCA-Anexo I-C,ReceitasExcetoIntraOrcamentarias,4318002,Deduções - FUNDEB,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),2019,Padrão
DCA-Anexo I-C,2019,DCA-Anexo I-C,ReceitasExcetoIntraOrcamentarias,4318002,Outras Deduções da Receita,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),2019,Padrão
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.0.0.0.00.0.0,4318002,Receitas Brutas Realizadas,1.0.0.0.00.0.0 - Receitas Correntes,2019,Padrão
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.0.0.0.00.0.0,4318002,Deduções - FUNDEB,1.0.0.0.00.0.0 - Receitas Correntes,2019,Padrão
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.0.0.0.00.0.0,4318002,Outras Deduções da Receita,1.0.0.0.00.0.0 - Receitas Correntes,2019,Padrão
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.1.0.0.00.0.0,4318002,Receitas Brutas Realizadas,"1.1.0.0.00.0.0 - Impostos, Taxas e Contribuições de Melhoria",2019,Padrão
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.1.0.0.00.0.0,4318002,Outras Deduções da Receita,"1.1.0.0.00.0.0 - Impostos, Taxas e Contribuições de Melhoria",2019,Padrão
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.1.1.0.00.0.0,4318002,Receitas Brutas Realizadas,1.1.1.0.00.0.0 - Impostos,2019,Padrão
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.1.1.0.00.0.0,4318002,Outras Deduções da Receita,1.1.1.0.00.0.0 - Impostos,2019,Padrão
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.1.1.3.00.0.0,4318002,Receitas Brutas Realizadas,1.1.1.3.00.0.0 - Impostos sobre a Renda e Proventos de Qualquer Natureza,2019,Padrão
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.1.1.3.03.0.0,4318002,Receitas Brutas Realizadas,1.1.1.3.03.0.0 - Imposto sobre a Renda - Retido na Fonte,2019,Padrão
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.1.1.3.03.1.0,4318002,Receitas Brutas Realizadas,1.1.1.3.03.1.0 - Imposto sobre a Renda - Retido na Fonte - Trabalho,2019,Padrão
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.1.1.3.03.4.0,4318002,Receitas Brutas Realizadas,1.1.1.3.03.4.0 - Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos,2019,Padrão
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.1.1.8.00.0.0,4318002,Receitas Brutas Realizadas,"1.1.1.8.00.0.0 Impostos Específicos de Estados, DF e Municípios",2019,Padrão
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.1.1.8.00.0.0,4318002,Outras Deduções da Receita,"1.1.1.8.00.0.0 Impostos Específicos de Estados, DF e Municípios",2019,Padrão
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.1.1.8.01.0.0,4318002,Receitas Brutas Realizadas,1.1.1.8.01.0.0 Impostos sobre o Patrimônio para Estados/DF/Municípios,2019,Padrão
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.1.1.8.01.0.0,4318002,Outras Deduções da Receita,1.1.1.8.01.0.0 Impostos sobre o Patrimônio para Estados/DF/Municípios,2019,Padrão
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.1.1.8.01.1.0,4318002,Receitas Brutas Realizadas,1.1.1.8.01.1.0 Imposto sobre a Propriedade Predial e Territorial Urbana,2019,Padrão
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.1.1.8.01.1.0,4318002,Outras Deduções da Receita,1.1.1.8.01.1.0 Imposto sobre a Propriedade Predial e Territorial Urbana,2019,Padrão
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.1.1.8.01.4.0,4318002,Receitas Brutas Realizadas,1.1.1.8.01.4.0 Imposto sobre Transmissão ¿Inter Vivos¿ de Bens Imóveis e de Direitos Reais sobre Imóveis,2019,Padrão
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.1.1.8.01.4.0,4318002,Outras Deduções da Receita,1.1.1.8.01.4.0 Imposto sobre Transmissão ¿Inter Vivos¿ de Bens Imóveis e de Direitos Reais sobre Imóveis,2019,Padrão
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.1.1.8.02.0.0,4318002,Receitas Brutas Realizadas,"1.1.1.8.02.0.0 Impostos sobre a Produção, Circulação de Mercadorias e Serviços",2019,Padrão
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.1.1.8.02.0.0,4318002,Outras Deduções da Receita,"1.1.1.8.02.0.0 Impostos sobre a Produção, Circulação de Mercadorias e Serviços",2019,Padrão
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.1.1.8.02.3.0,4318002,Receitas Brutas Realizadas,1.1.1.8.02.3.0 Imposto sobre Serviços de Qualquer Natureza,2019,Padrão
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.1.1.8.02.3.0,4318002,Outras Deduções da Receita,1.1.1.8.02.3.0 Imposto sobre Serviços de Qualquer Natureza,2019,Padrão
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.1.2.0.00.0.0,4318002,Receitas Brutas Realizadas,1.1.2.0.00.0.0 - Taxas,2019,Padrão
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.1.2.0.00.0.0,4318002,Outras Deduções da Receita,1.1.2.0.00.0.0 - Taxas,2019,Padrão
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.1.2.2.00.0.0,4318002,Receitas Brutas Realizadas,1.1.2.2.00.0.0 - Taxas pela Prestação de Serviços,2019,Padrão
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.1.2.2.00.0.0,4318002,Outras Deduções da Receita,1.1.2.2.00.0.0 - Taxas pela Prestação de Serviços,2019,Padrão
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.1.2.2.01.0.0,4318002,Receitas Brutas Realizadas,1.1.2.2.01.0.0 - Taxas pela Prestação de Serviços,2019,Padrão
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.1.2.2.01.0.0,4318002,Outras Deduções da Receita,1.1.2.2.01.0.0 - Taxas pela Prestação de Serviços,2019,Padrão
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.1.2.8.00.0.0,4318002,Receitas Brutas Realizadas,"1.1.2.8.00.0.0 - Taxas - Específicas de Estados, DF e Municípios",2019,Padrão
