_annex_requested,_exercise,anexo,cod_conta,cod_ibge,coluna,conta,exercicio,instituicao,populacao,rotulo,uf,valor
DCA-Anexo I-C,2019,DCA-Anexo I-C,ReceitasExcetoIntraOrcamentarias,4318002,Receitas Brutas Realizadas,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,221346999.55
DCA-Anexo I-C,2019,DCA-Anexo I-C,ReceitasExcetoIntraOrcamentarias,4318002,Deduções - FUNDEB,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,17685826.44
DCA-Anexo I-C,2019,DCA-Anexo I-C,ReceitasExcetoIntraOrcamentarias,4318002,Outras Deduções da Receita,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,412500.53
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.0.0.0.00.0.0,4318002,Receitas Brutas Realizadas,1.0.0.0.00.0.0 - Receitas Correntes,2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,212254429.33
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.0.0.0.00.0.0,4318002,Deduções - FUNDEB,1.0.0.0.00.0.0 - Receitas Correntes,2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,17685826.44
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.0.0.0.00.0.0,4318002,Outras Deduções da Receita,1.0.0.0.00.0.0 - Receitas Correntes,2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,412500.53
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.1.0.0.00.0.0,4318002,Receitas Brutas Realizadas,"1.1.0.0.00.0.0 - Impostos, Taxas e Contribuições de Melhoria",2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,27302212.4
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.1.0.0.00.0.0,4318002,Outras Deduções da Receita,"1.1.0.0.00.0.0 - Impostos, Taxas e Contribuições de Melhoria",2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,408844.84
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.1.1.0.00.0.0,4318002,Receitas Brutas Realizadas,1.1.1.0.00.0.0 - Impostos,2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,22252603.61
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.1.1.0.00.0.0,4318002,Outras Deduções da Receita,1.1.1.0.00.0.0 - Impostos,2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,300298.83
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.1.1.3.00.0.0,4318002,Receitas Brutas Realizadas,1.1.1.3.00.0.0 - Impostos sobre a Renda e Proventos de Qualquer Natureza,2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,4971634.96
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.1.1.3.03.0.0,4318002,Receitas Brutas Realizadas,1.1.1.3.03.0.0 - Imposto sobre a Renda - Retido na Fonte,2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,4971634.96
