cnpj,nome_credor,rubrica,empenhos,empenhado_R$,anulado_R$,liquidado_R$,pago_R$
96488598000189,FUNDACAO IVAN GOULART,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,41,39822837.13,849838.67,30356914.84,28342657.23
10690224000126,FUNDO DE PREVIDENCIA SOCIAL DO MUNICIPIO,OBRIGAÇÕES PATRONAIS,442,15074613.47,345032.6,14729580.87,14729266.88
10690224000126,FUNDO DE PREVIDENCIA SOCIAL DO MUNICIPIO,AMORT DO PASSIVO ATUARIAL COM O RPPS - APORTE PERI,9,5311784.21,13700.69,5298083.52,5298083.52
30483455000176,INSTITUTO DE ASSISTENCIA A SAUDE DOS SER,OUTROS BENEFÍCIOS ASSISTENCIAIS,201,4960999.21,301596.05,4648732.74,4627100.74
90791997000138,CAMARA MUNICIPAL DE VEREADORES DE SAO BO,VENCIMENTOS E VANTAGENS FIXAS - PESSOAL CIVIL,208,4215353.23,0.0,4215353.23,4215353.23
06136424000164,ECO VERDE PRESTAÇÃO DE SERVIÇO DE COLETA,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,19,6673528.36,1717430.77,3797003.02,3797003.02
10690224000126,FUNDO DE PREVIDENCIA SOCIAL DO MUNICIPIO,PRINCIPAL DA DÍVIDA POR CONTRATO,34,3665483.47,0.0,3665483.47,3258207.53
02885855000172,BADESUL DESENVOLVIMENTO S/A AGENCIA DE F,PRINCIPAL DA DÍVIDA POR CONTRATO,24,2789987.53,0.0,2789987.53,2789987.53
00394460005887,MINISTERIO DA FAZENDA,CONTRATAÇÃO POR TEMPO DETERMINADO,380,2957554.51,3456.1,2954098.41,2598868.08
00394460005887,MINISTERIO DA FAZENDA,OBRIGAÇÕES TRIBUTÁRIAS E CONTRIBUTIVAS,132,3105993.16,323511.91,2782481.25,2525461.78
02016440000162,RGE SUL DISTRIBUIDORA DE ENERGIA S.A.,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,68,4209570.28,100069.12,2494826.63,2493344.23
96488598000189,FUNDACAO IVAN GOULART,SUBVENÇÕES SOCIAIS,9,2740311.0,88780.31,2427275.26,2427275.26
02885855000172,BADESUL DESENVOLVIMENTO S/A AGENCIA DE F,JUROS SOBRE A DÍVIDA POR CONTRATO,28,2144036.24,0.0,2144036.24,2144036.24
89522064000166,RIO GRANDE DO SUL PODER JUDICIARIO,SENTENCAS JUDICIAIS,10,2156024.13,0.0,2156024.13,1916493.86
18728542000140,HIPERTEX SERVICOS DE CONCRETAGEM LTDA,OBRAS E INSTALAÇÕES,9,4261279.74,0.0,2810622.43,1880196.43
00394460005887,MINISTERIO DA FAZENDA,OBRIGAÇÕES PATRONAIS,342,1884130.47,2312.69,1881817.78,1623153.99
00360305050632,CAIXA ECONOMICA FEDERAL,JUROS SOBRE A DÍVIDA POR CONTRATO,14,1686713.51,204555.81,1482157.7,1482157.7
94282845000160,TRANSPORTE INTEGRAÇÃO URBANA LTDA,SUBVENÇÕES ECONOMICAS,14,1420185.88,0.0,1420185.88,1420185.88
02453554000170,MERCOSERVICE PRESTAÇÃO DE SERVIÇOS LTDA,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,53,1916480.18,40776.62,1416238.44,1404762.24
26994285000117,TOPOCART TOPOGRAFIA ENGENHARIA E AEROLEV,OUTROS SERVIÇOS DE TERCEIROS PESSOA JURÍDICA,2,3231385.23,0.0,1315860.88,1315860.88
44233812000152,ZAGONEL ILUMINACAO S.A.,MATERIAL DE CONSUMO,1,1235620.7,0.0,1221733.83,1221733.83
33729746000190,PGR ATERRO SANITARIO E TRATAMENTOS DE RE,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,9,1777462.86,229244.7,1179648.63,1179648.63
10690224000126,FUNDO DE PREVIDENCIA SOCIAL DO MUNICIPIO,OUTROS BENEFÍCIOS ASSISTENCIAIS,25,1155508.37,0.0,1155508.37,1155508.37
00360305050632,CAIXA ECONOMICA FEDERAL,PRINCIPAL DA DÍVIDA POR CONTRATO,11,1301293.56,318503.34,982790.22,982790.22
76669670000167,TRANSVEPAR TRANSPORTES E VEICULOS PARANÁ,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,24,1123171.88,1714.32,946469.38,946469.38
90791922000157,ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIO,SUBVENÇÕES SOCIAIS,12,920652.57,244.14,872439.9,865034.04
05340639000130,PRIME CONSULTORIA E ASSESSORIA EMPRESARI,MATERIAL DE CONSUMO,11,977775.55,19035.64,813392.19,701877.6
14767899000187,GRA ASSESSORIA E CONSULTORIA EMNEGOCIOS,EQUIPAMENTOS E MATERIAL PERMANENTE,3,1275000.0,0.0,1275000.0,675000.0
07473735017238,SIM REDE DE POSTOS LTDA,MATERIAL DE CONSUMO,42,892622.22,195013.72,642019.18,642019.18
92802784000190,COMPANHIA RIOGRANDENSE DE SANEAMENTO,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,51,1097292.58,78727.73,672872.86,641771.07
90791922000157,ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIO,AUXÍLIOS,4,637563.0,2932.91,634630.09,630925.88
33827265000117,JS COMERCIO E REPRESENTACAO LTDA,EQUIPAMENTOS E MATERIAL PERMANENTE,1,625800.0,0.0,625800.0,625800.0
28861944000172,ANTONIO FERREIRA DOS SANTOS,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,30,661476.5,93068.04,568408.46,568408.46
00360305050632,CAIXA ECONOMICA FEDERAL,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,183,559541.81,0.0,559541.81,556207.86
00735067000174,ARCELIO IRIO KLEINERT,MATERIAL DE CONSUMO,107,899635.03,11216.32,553187.19,553187.19
07454456000170,LUIZ CARLOS DRUZIAN,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,19,545634.0,2690.0,539824.0,537975.0
90791997000138,CAMARA MUNICIPAL DE VEREADORES DE SAO BO,AUXÍLIO ALIMENTAÇÃO,19,605748.0,0.0,605748.0,534204.0
90791922000157,ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIO,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,10,852399.78,5818.89,517057.1,517057.1
92954957000195,CENTRO DE INTEGRACAO EMPRESA ESCOLA DO R,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,124,713154.63,46958.87,502843.34,502035.24
06265439000122,OLINTO SILVEIRA DA SILVA,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",11,676408.74,92132.02,584276.72,487982.04
00360305050632,CAIXA ECONOMICA FEDERAL,OBRIGAÇÕES PATRONAIS,157,529683.15,2.0,529681.15,470214.25
05537296000289,PETROFFACIL COMBUSTIVEIS LTDA,MATERIAL DE CONSUMO,8,751140.0,167220.0,464950.0,464950.0
43463101000101,ABF DISTRIBUIDORA DE ALIMENTOS LTDA,MATERIAL DE CONSUMO,81,492164.39,990.36,460242.47,460242.47
08940091000157,ROTA SMART MONITORAMENTO LTDA,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,39,628481.22,4307.22,445305.79,445305.79
13255081000112,MARA ELIANE DA SILVA MACHADO,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,14,490038.04,44864.01,444909.85,444909.85
14168347000152,BALBE & NORO LTDA,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",5,607354.89,163051.3,444303.59,444303.59
00533784000113,COMAP COMERCIO DE EQUIPAMENTOS EDUCACION,MATERIAL DE CONSUMO,1,411896.4,0.0,411896.4,411896.4
91572792000205,ASSOCIACAO ESPIRITA DR FERREIRA DE MORAE,SUBVENÇÕES SOCIAIS,1,400000.0,0.0,400000.0,400000.0
89225932000146,JC VALDUGA LTDA,OBRAS E INSTALAÇÕES,5,393225.4,0.0,393225.4,393225.4
17176399000169,SUPERINTENDENCIA DOS SERVICOS PENITENCIA,CONTRIBUIÇÕES,12,517018.09,8342.86,376980.4,376980.4
07756651000155,BRASIL TECPAR SERVIÇOS DE TELECOMUNICAÇÕ,SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO,50,729855.04,0.0,369620.34,369620.34
31286638000164,ORTOPEDICA V2 INDUSTRIA E COMERCIO ORTES,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",21,541362.76,0.0,446664.98,367464.98
43463101000101,ABF DISTRIBUIDORA DE ALIMENTOS LTDA,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",4,515474.0,72080.0,360400.0,360400.0
