rubrica,cnpjs,empenhos,empenhado_R$,anulado_R$,liquidado_R$,pago_R$
OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,222,2366,72457157.62,3990945.51,51980562.12,49724923.7
OBRIGAÇÕES PATRONAIS,7,991,17954172.56,528447.43,17382331.78,17063887.1
MATERIAL DE CONSUMO,285,2186,12174302.63,455386.3,9442091.5,9327033.35
PRINCIPAL DA DÍVIDA POR CONTRATO,4,87,7870241.42,318503.34,7551738.08,7144462.14
OUTROS BENEFÍCIOS ASSISTENCIAIS,3,234,6122844.62,301596.05,5810578.15,5788946.15
AMORT DO PASSIVO ATUARIAL COM O RPPS - APORTE PERI,1,9,5311784.21,13700.69,5298083.52,5298083.52
VENCIMENTOS E VANTAGENS FIXAS - PESSOAL CIVIL,2,217,4459994.57,0.0,4459994.57,4459994.57
"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",75,355,5536222.35,378419.95,4364591.29,4138893.49
SUBVENÇÕES SOCIAIS,8,28,4356275.57,89128.32,3994923.29,3985121.3
JUROS SOBRE A DÍVIDA POR CONTRATO,3,60,3959266.82,204555.81,3754711.01,3754711.01
EQUIPAMENTOS E MATERIAL PERMANENTE,111,318,4311365.65,204546.65,4006355.51,3296925.51
OBRAS E INSTALAÇÕES,12,34,5635403.29,0.0,3787218.74,2856792.74
CONTRATAÇÃO POR TEMPO DETERMINADO,1,380,2957554.51,3456.1,2954098.41,2598868.08
OBRIGAÇÕES TRIBUTÁRIAS E CONTRIBUTIVAS,7,228,3152275.19,324076.11,2827873.91,2570854.44
SENTENCAS JUDICIAIS,13,81,2737309.58,378.63,2736930.95,2460306.72
SUBVENÇÕES ECONOMICAS,1,14,1420185.88,0.0,1420185.88,1420185.88
OUTROS SERVIÇOS DE TERCEIROS PESSOA JURÍDICA,2,3,3493944.88,0.0,1315860.88,1315860.88
SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO,24,141,1980567.76,40719.5,1156602.16,1136695.44
INDENIZAÇÕES E RESTITUIÇÕES,10,19,648012.65,9.01,648003.64,648003.64
AUXÍLIOS,1,4,637563.0,2932.91,634630.09,630925.88
CONTRIBUIÇÕES,2,14,853018.09,8342.86,600980.4,600980.4
AUXÍLIO ALIMENTAÇÃO,2,27,631861.88,0.0,631861.88,560317.88
DESPESAS DE EXERCÍCIOS ANTERIORES,17,30,382830.07,0.0,382713.37,382713.37
COMPENSAÇÕES A REGIMES DE PREVIDÊNCIA,5,51,236987.71,0.0,236987.71,236987.71
JUROS SOBRE A DIVIDA POR CONTRATOS,1,40,252566.29,43252.38,209313.91,173658.16
SERVIÇOS DE CONSULTORIA,4,7,280141.6,39066.93,164954.67,155954.67
RESSARCIAMENTO DE DESPESAS DE PESSOAL REQUISITADO,1,9,154312.06,17000.44,137311.62,137311.62
PASSAGENS E DESPESAS COM LOCOMOÇÃO,3,18,86411.8,0.4,86411.4,86411.4
AUXÍLIO TRANSPORTE,1,52,155853.08,22017.28,83703.8,83443.8
PREMIAÇÕES CULT. ARTÍST. CIENT. DESPORT. E OUTRAS,7,72,75493.01,0.0,67878.21,67878.21
INDENIZAÇÕES  TRABALHISTAS,1,6,21683.54,0.0,21683.54,21683.54
OUTROS SERVICOS DE TERCEIROS - PESSOA FISICA,3,10,17884.5,0.1,17264.4,17264.4
DIÁRIAS - PESSOAL CIVIL,1,4,8480.0,8480.0,0.0,0.0
