sheet_row,inventario_nome,subcategoria,cnpj_unidade,cnpj_base,cnpj_duplicate_in_inventory,unique_root_units,root_multiunit_flag,farmacia_drogaria_flag,source,periodo_referencia,limitacao
56,Fantasia: Farmacia Maria do Carmo / Razão Social: Santos & Emmert Ltda (Cnpj 20.507.692/0001-76),Farmácia,20507692000176,20507692,NÃO,1,NÃO,SIM,Empresas de Varejo de São Borja — inventário POM/documental,2026,"Estrutura do inventário; CNPJ/raiz não prova atividade atual, market share ou marca/rede completa."
57,Fantasia: São João Farmacias / Razão Social: Comercio de Medicamentos Brair Ltda (Cnpj 88.212.113/0049-46),Drogaria,88212113004946,88212113,NÃO,7,SIM,SIM,Empresas de Varejo de São Borja — inventário POM/documental,2026,"Estrutura do inventário; CNPJ/raiz não prova atividade atual, market share ou marca/rede completa."
58,Fantasia: São João Farmacias / Razão Social: Comercio de Medicamentos Brair Ltda (Cnpj 88.212.113/0387-60),Drogaria,88212113038760,88212113,NÃO,7,SIM,SIM,Empresas de Varejo de São Borja — inventário POM/documental,2026,"Estrutura do inventário; CNPJ/raiz não prova atividade atual, market share ou marca/rede completa."
59,Fantasia: São João Farmacias / Razão Social: Comercio de Medicamentos Brair Ltda (Cnpj 88.212.113/0598-48),Drogaria,88212113059848,88212113,NÃO,7,SIM,SIM,Empresas de Varejo de São Borja — inventário POM/documental,2026,"Estrutura do inventário; CNPJ/raiz não prova atividade atual, market share ou marca/rede completa."
60,Fantasia: São João Farmacias / Razão Social: Comercio de Medicamentos Brair Ltda (Cnpj 88.212.113/0247-00),Drogaria,88212113024700,88212113,NÃO,7,SIM,SIM,Empresas de Varejo de São Borja — inventário POM/documental,2026,"Estrutura do inventário; CNPJ/raiz não prova atividade atual, market share ou marca/rede completa."
61,Fantasia: São João Farmacias / Razão Social: Comercio de Medicamentos Brair Ltda (Cnpj 88.212.113/0241-14),Drogaria,88212113024114,88212113,NÃO,7,SIM,SIM,Empresas de Varejo de São Borja — inventário POM/documental,2026,"Estrutura do inventário; CNPJ/raiz não prova atividade atual, market share ou marca/rede completa."
62,Fantasia: São João Farmacias / Razão Social: Comercio de Medicamentos Brair Ltda (Cnpj 88.212.113/1200-08),Drogaria,88212113120008,88212113,NÃO,7,SIM,SIM,Empresas de Varejo de São Borja — inventário POM/documental,2026,"Estrutura do inventário; CNPJ/raiz não prova atividade atual, market share ou marca/rede completa."
63,Fantasia: São João Farmacias / Razão Social: Comercio de Medicamentos Brair Ltda (Cnpj 88.212.113/0124-50),Drogaria,88212113012450,88212113,NÃO,7,SIM,SIM,Empresas de Varejo de São Borja — inventário POM/documental,2026,"Estrutura do inventário; CNPJ/raiz não prova atividade atual, market share ou marca/rede completa."
64,Fantasia: MB Farmácias / Razão Social: Fernandez Comercio de Medicamentos S.a. (Cnpj 93.641.710/0033-69),Drogaria,93641710003369,93641710,NÃO,6,SIM,SIM,Empresas de Varejo de São Borja — inventário POM/documental,2026,"Estrutura do inventário; CNPJ/raiz não prova atividade atual, market share ou marca/rede completa."
65,Fantasia: MB Farmácias / Razão Social: Fernandez Comercio de Medicamentos S.a. (Cnpj 93.641.710/0031-05),Drogaria,93641710003105,93641710,NÃO,6,SIM,SIM,Empresas de Varejo de São Borja — inventário POM/documental,2026,"Estrutura do inventário; CNPJ/raiz não prova atividade atual, market share ou marca/rede completa."
66,Fantasia: MB Farmácias / Razão Social: Fernandez Comercio de Medicamentos S.a. (Cnpj 93.641.710/0010-72),Drogaria,93641710001072,93641710,NÃO,6,SIM,SIM,Empresas de Varejo de São Borja — inventário POM/documental,2026,"Estrutura do inventário; CNPJ/raiz não prova atividade atual, market share ou marca/rede completa."
67,Fantasia: MB Farmácias / Razão Social: Fernandez Comercio de Medicamentos S.a. (Cnpj 93.641.710/0038-73),Drogaria,93641710003873,93641710,SIM,6,SIM,SIM,Empresas de Varejo de São Borja — inventário POM/documental,2026,"Estrutura do inventário; CNPJ/raiz não prova atividade atual, market share ou marca/rede completa."
68,Fantasia: MB Farmácias / Razão Social: Fernandez Comercio de Medicamentos S.a. (Cnpj 93.641.710/0041-79),Drogaria,93641710004179,93641710,NÃO,6,SIM,SIM,Empresas de Varejo de São Borja — inventário POM/documental,2026,"Estrutura do inventário; CNPJ/raiz não prova atividade atual, market share ou marca/rede completa."
69,Fantasia: MB Farmácias / Razão Social: Fernandez Comercio de Medicamentos S.a. (Cnpj 93.641.710/0038-73),Drogaria,93641710003873,93641710,SIM,6,SIM,SIM,Empresas de Varejo de São Borja — inventário POM/documental,2026,"Estrutura do inventário; CNPJ/raiz não prova atividade atual, market share ou marca/rede completa."
70,Fantasia: MB Farmácias / Razão Social: Fernandez Comercio de Medicamentos S.a. (Cnpj 93.641.710/0064-65),Drogaria,93641710006465,93641710,NÃO,6,SIM,SIM,Empresas de Varejo de São Borja — inventário POM/documental,2026,"Estrutura do inventário; CNPJ/raiz não prova atividade atual, market share ou marca/rede completa."
71,Fantasia: Palvel Farmácias / Razão Social: Dimed S/a - Distribuidora de Medicamentos (Cnpj 92.665.611/0059-93),Drogaria e Distribuidora de Medicamentos,92665611005993,92665611,NÃO,2,SIM,SIM,Empresas de Varejo de São Borja — inventário POM/documental,2026,"Estrutura do inventário; CNPJ/raiz não prova atividade atual, market share ou marca/rede completa."
72,Fantasia: Palvel Farmácias / Razão Social: Dimed S/a - Distribuidora de Medicamentos (Cnpj 92.665.611/0467-54),Drogaria e Distribuidora de Medicamentos,92665611046754,92665611,SIM,2,SIM,SIM,Empresas de Varejo de São Borja — inventário POM/documental,2026,"Estrutura do inventário; CNPJ/raiz não prova atividade atual, market share ou marca/rede completa."
73,Fantasia: Palvel Farmácias / Razão Social: Dimed S/a - Distribuidora de Medicamentos (Cnpj 92.665.611/0467-54),Drogaria e Distribuidora de Medicamentos,92665611046754,92665611,SIM,2,SIM,SIM,Empresas de Varejo de São Borja — inventário POM/documental,2026,"Estrutura do inventário; CNPJ/raiz não prova atividade atual, market share ou marca/rede completa."
74,Fantasia: Droga Raia / Razão Social: Raia Drogasil S/a (Cnpj 61.585.865/2878-50),Drogaria e Distribuidora de Medicamentos,61585865287850,61585865,NÃO,1,NÃO,SIM,Empresas de Varejo de São Borja — inventário POM/documental,2026,"Estrutura do inventário; CNPJ/raiz não prova atividade atual, market share ou marca/rede completa."
