codigoSIMP,autorizacao,dataPublicacao,razaoSocial,cnpj,endereco,complemento,bairro,cep,uf,municipio,distribuidora,dataVinculacao,classe,produtos,latitude,longitude,latitude_ANP4C,longitude_ANP4C,validacao,estimativaAcuracia,srid,src,dataObtencao,origemInformacao,situacaoConstatada,observacao,statusSIGAF,inadimplenciaPMQC
1012429,PR/RS0020206,27/11/2001,COMERCIO DE COMBUSTIVEIS DO CENTRO LTDA,04642623000119,"RUA ENG MANOEL LUIZ FAGUNDES,  2286",,CENTRO,97670000,RS,SAO BORJA,VIBRA,21/01/2021,1 ÁREA  - Classe I - NBR 15514,"[{'produto': 'ETANOL HIDRATADO COMUM', 'tancagem': 15, 'unidMedidaTancagem': 'm³', 'qtdeBicos': 1}, {'produto': 'GASOLINA C COMUM', 'tancagem': 60, 'unidMedidaTancagem': 'm³', 'qtdeBicos': 3}, {'produto': 'GASOLINA C COMUM ADITIVADA', 'tancagem': 30, 'unidMedidaTancagem': 'm³', 'qtdeBicos': 4}, {'produto': 'ÓLEO DIESEL B S10 - COMUM', 'tancagem': 15, 'unidMedidaTancagem': 'm³', 'qtdeBicos': 2}, {'produto': 'ÓLEO DIESEL B S500 - COMUM', 'tancagem': 30, 'unidMedidaTancagem': 'm³', 'qtdeBicos': 2}]",,,,,,,,,,,,,,[]
1004632,PR/RS0016507,08/11/2001,POSTO 44 CAVALHADA COMERCIO DE COMBUSTIVEIS LTDA,02214814000154,"RODOVIA BR 285 KM 667,  SN",BLOCO A                   SALA  01,SAO BORJA,97670000,RS,SAO BORJA,VIBRA,08/11/2001,,"[{'produto': 'GASOLINA C COMUM', 'tancagem': 30, 'unidMedidaTancagem': 'm³', 'qtdeBicos': 4}, {'produto': 'GASOLINA C COMUM ADITIVADA', 'tancagem': 15, 'unidMedidaTancagem': 'm³', 'qtdeBicos': 4}, {'produto': 'ÓLEO DIESEL B S10 - ADITIVADO', 'tancagem': 120, 'unidMedidaTancagem': 'm³', 'qtdeBicos': 8}, {'produto': 'ÓLEO DIESEL B S500 - ADITIVADO', 'tancagem': 75, 'unidMedidaTancagem': 'm³', 'qtdeBicos': 5}]",-28.6629932,-55.9332478,"-28:39:46,776","-55:55:59,692",Posição Geográfica não validada,4,4674,SIRGAS2000,15/04/2026,Agente de fiscalização da ANP,200,,,[]
1191762,PR/RS0113383,01/11/2012,COMERCIO DE COMBUSTIVEIS ROHENKOHL LTDA,05747578000553,"AVENIDA FRANCISCO MIRANDA,  672",,PASSO,97670000,RS,SAO BORJA,BANDEIRA BRANCA,04/03/2020,,"[{'produto': 'ETANOL HIDRATADO COMUM', 'tancagem': 10, 'unidMedidaTancagem': 'm³', 'qtdeBicos': 1}, {'produto': 'GASOLINA C COMUM', 'tancagem': 20, 'unidMedidaTancagem': 'm³', 'qtdeBicos': 2}, {'produto': 'GASOLINA C COMUM ADITIVADA', 'tancagem': 15, 'unidMedidaTancagem': 'm³', 'qtdeBicos': 1}, {'produto': 'ÓLEO DIESEL B S10 - COMUM', 'tancagem': 10, 'unidMedidaTancagem': 'm³', 'qtdeBicos': 2}, {'produto': 'ÓLEO DIESEL B S500 - COMUM', 'tancagem': 10, 'unidMedidaTancagem': 'm³', 'qtdeBicos': 2}]",-28.6304959,-56.0269859,"-28:37:49,785","-56:01:37,149",Posição Geográfica não validada,4,4674,SIRGAS2000,27/09/2022,Agente de fiscalização da ANP,200,,,[]
1213654,PR/RS0169205,17/03/2015,JP SANTA LUCIA COMERCIO DE COMBUSTIVEIS LTDA,17695813000570,"RUA APARICIO MARIENSE,  2248",,CENTRO,97670000,RS,SAO BORJA,SANTA LUCIA,17/03/2015,,"[{'produto': 'ETANOL HIDRATADO COMUM', 'tancagem': 15, 'unidMedidaTancagem': 'm³', 'qtdeBicos': 1}, {'produto': 'GASOLINA C COMUM', 'tancagem': 30, 'unidMedidaTancagem': 'm³', 'qtdeBicos': 4}, {'produto': 'GASOLINA C COMUM ADITIVADA', 'tancagem': 15, 'unidMedidaTancagem': 'm³', 'qtdeBicos': 2}, {'produto': 'ÓLEO DIESEL B S10 - COMUM', 'tancagem': 15, 'unidMedidaTancagem': 'm³', 'qtdeBicos': 1}, {'produto': 'ÓLEO DIESEL B S500 - COMUM', 'tancagem': 15, 'unidMedidaTancagem': 'm³', 'qtdeBicos': 2}]",-28.6602689,-56.0003279,"-28:39:36,968","-56:00:01,180",Posição Geográfica não validada,4,4674,SIRGAS2000,21/03/2024,Agente de fiscalização da ANP,200,,,[]
1255514,PR/RS0193337,12/07/2019,J.M. COMERCIO DE COMBUSTIVEIS LTDA,20550883000110,"RUA BORGES DO CANTO,  141",,TIRO,97670000,RS,SAO BORJA,VIBRA,08/12/2022,,"[{'produto': 'GASOLINA C COMUM', 'tancagem': 30, 'unidMedidaTancagem': 'm³', 'qtdeBicos': 3}, {'produto': 'GASOLINA C COMUM ADITIVADA', 'tancagem': 20, 'unidMedidaTancagem': 'm³', 'qtdeBicos': 1}, {'produto': 'GASOLINA C PREMIUM', 'tancagem': 10, 'unidMedidaTancagem': 'm³', 'qtdeBicos': 1}, {'produto': 'ÓLEO DIESEL B S10 - ADITIVADO', 'tancagem': 15, 'unidMedidaTancagem': 'm³', 'qtdeBicos': 1}, {'produto': 'ÓLEO DIESEL B S500 - COMUM', 'tancagem': 15, 'unidMedidaTancagem': 'm³', 'qtdeBicos': 2}]",-28.6483286,-55.9970564,"-28:38:53,983","-55:59:49,403",Posição Geográfica não validada,4,4674,SIRGAS2000,27/09/2022,Agente de fiscalização da ANP,200,,,[]
1262683,PR/RS0198568,26/03/2020,COMERCIAL BUFFON COMBUSTIVEIS E TRANSPORTES LIMITADA,93489243009253,"AVENIDA LEONEL BRIZOLA,  1021",,PIRAY,97670000,RS,SAO BORJA,IPIRANGA,26/03/2020,,"[{'produto': 'GASOLINA C COMUM', 'tancagem': 30, 'unidMedidaTancagem': 'm³', 'qtdeBicos': 2}, {'produto': 'GASOLINA C COMUM ADITIVADA', 'tancagem': 15, 'unidMedidaTancagem': 'm³', 'qtdeBicos': 2}, {'produto': 'ÓLEO DIESEL B S10 - COMUM', 'tancagem': 45, 'unidMedidaTancagem': 'm³', 'qtdeBicos': 3}, {'produto': 'ÓLEO DIESEL B S500 - COMUM', 'tancagem': 60, 'unidMedidaTancagem': 'm³', 'qtdeBicos': 5}]",-28.67013844,-55.97462547,"-28:40:12,498","-55:58:28,652",Posição Geográfica não validada,,4674,SIRGAS2000,05/11/2025,Preposto da empresa,,,,[]
1271732,PR/RS0207717,09/03/2021,SIM REDE DE POSTOS LTDA,07473735017238,"RUA VENANCIO AIRES,  2060",,JOSE PEREIRA ALVAREZ,97670000,RS,SAO BORJA,BANDEIRA BRANCA,09/03/2021,,"[{'produto': 'GÁS NATURAL VEICULAR', 'tancagem': 0, 'unidMedidaTancagem': 'm³', 'qtdeBicos': 0}, {'produto': 'GASOLINA C COMUM', 'tancagem': 30, 'unidMedidaTancagem': 'm³', 'qtdeBicos': 6}, {'produto': 'GASOLINA C COMUM ADITIVADA', 'tancagem': 30, 'unidMedidaTancagem': 'm³', 'qtdeBicos': 4}, {'produto': 'ÓLEO DIESEL B S10 - COMUM', 'tancagem': 15, 'unidMedidaTancagem': 'm³', 'qtdeBicos': 2}, {'produto': 'ÓLEO DIESEL B S500 - COMUM', 'tancagem': 15, 'unidMedidaTancagem': 'm³', 'qtdeBicos': 2}]",,,,,,,,,,,,,,[]
1281202,PR/RS0220583,10/02/2022,JP SANTA LUCIA COMERCIO DE COMBUSTIVEIS LTDA,17695813002602,"RUA CEL APARICIO MARIENSE DA SILVA,  2152",,CENTRO,97670000,RS,SAO BORJA,IPIRANGA,10/02/2022,,"[{'produto': 'GASOLINA C COMUM', 'tancagem': 30, 'unidMedidaTancagem': 'm³', 'qtdeBicos': 3}, {'produto': 'GASOLINA C COMUM ADITIVADA', 'tancagem': 20, 'unidMedidaTancagem': 'm³', 'qtdeBicos': 3}, {'produto': 'ÓLEO DIESEL B S10 - COMUM', 'tancagem': 10, 'unidMedidaTancagem': 'm³', 'qtdeBicos': 1}, {'produto': 'ÓLEO DIESEL B S500 - COMUM', 'tancagem': 10, 'unidMedidaTancagem': 'm³', 'qtdeBicos': 1}]",-28.66001117,-55.99929302,"-28:39:36,040","-55:59:57,455",Posição Geográfica não validada,,4674,SIRGAS2000,15/04/2026,Preposto da empresa,,,,[]
1287140,PR/RS0230297,11/10/2022,LAMBARI ESTACAO DE ABASTECIMENTO LTDA,23776855000295,"RODOVIA BR 285 KM 669 + 100,  SN",,LOCAL ESTIVA,97670000,RS,SAO BORJA,BANDEIRA BRANCA,14/07/2026,,"[{'produto': 'ÓLEO DIESEL B S10 - COMUM', 'tancagem': 180, 'unidMedidaTancagem': 'm³', 'qtdeBicos': 6}, {'produto': 'ÓLEO DIESEL B S500 - COMUM', 'tancagem': 60, 'unidMedidaTancagem': 'm³', 'qtdeBicos': 2}]",-28.6696836,-55.95457635,"-28:40:10,861","-55:57:16,475",Posição Geográfica não validada,,4674,SIRGAS2000,14/07/2026,Preposto da empresa,,,,[]
1289104,PR/RS0237170,27/02/2023,POSTO 44 INTERNACIONAL COMERCIO DE COMBUSTIVEIS LTDA,41876743000107,"RUA JOSE SCHIAVO MUNRO,  44",,INTERIOR,97670000,RS,SAO BORJA,RAIZEN,27/02/2023,,"[{'produto': 'GASOLINA C COMUM', 'tancagem': 20, 'unidMedidaTancagem': 'm³', 'qtdeBicos': 6}, {'produto': 'GASOLINA C COMUM ADITIVADA', 'tancagem': 20, 'unidMedidaTancagem': 'm³', 'qtdeBicos': 4}, {'produto': 'ÓLEO DIESEL B S10 - ADITIVADO', 'tancagem': 90, 'unidMedidaTancagem': 'm³', 'qtdeBicos': 10}, {'produto': 'ÓLEO DIESEL B S500 - ADITIVADO', 'tancagem': 50, 'unidMedidaTancagem': 'm³', 'qtdeBicos': 4}]",-28.6318216,-56.0006929,"-28:37:54,558","-56:00:02,494",Posição Geográfica não validada,4,4674,SIRGAS2000,15/04/2026,Agente de fiscalização da ANP,200,,,[]
