ANO,GRANDE REGIÃO,UF,PRODUTO,CÓDIGO IBGE,MUNICÍPIO,VENDAS
1990,REGIÃO SUL,RS,ETANOL,4318002,SAO BORJA,2964072
1991,REGIÃO SUL,RS,ETANOL,4318002,SAO BORJA,2594318
1990,REGIÃO SUL,RS,ETANOL,4318002,SAO BORJA,2964072
1991,REGIÃO SUL,RS,ETANOL,4318002,SAO BORJA,2594318
2000,REGIÃO SUL,RS,ETANOL,4318002,SAO BORJA,1135504
2001,REGIÃO SUL,RS,ETANOL,4318002,SAO BORJA,757605
2002,REGIÃO SUL,RS,ETANOL,4318002,SAO BORJA,746000
2003,REGIÃO SUL,RS,ETANOL,4318002,SAO BORJA,503000
2004,REGIÃO SUL,RS,ETANOL,4318002,SAO BORJA,676000
2005,REGIÃO SUL,RS,ETANOL,4318002,SAO BORJA,760000
2006,REGIÃO SUL,RS,ETANOL,4318002,SAO BORJA,658000
2007,REGIÃO SUL,RS,ETANOL,4318002,SAO BORJA,725595
2008,REGIÃO SUL,RS,ETANOL,4318002,SAO BORJA,1292890
2009,REGIÃO SUL,RS,ETANOL,4318002,SAO BORJA,1832000
2010,REGIÃO SUL,RS,ETANOL,4318002,SAO BORJA,795002
2011,REGIÃO SUL,RS,ETANOL,4318002,SAO BORJA,436500
2012,REGIÃO SUL,RS,ETANOL,4318002,SAO BORJA,358500
2013,REGIÃO SUL,RS,ETANOL,4318002,SAO BORJA,430000
2014,REGIÃO SUL,RS,ETANOL,4318002,SAO BORJA,358000
2015,REGIÃO SUL,RS,ETANOL,4318002,SAO BORJA,564100
2016,REGIÃO SUL,RS,ETANOL,4318002,SAO BORJA,452500
2017,REGIÃO SUL,RS,ETANOL,4318002,SAO BORJA,311500
2018,REGIÃO SUL,RS,ETANOL,4318002,SAO BORJA,521000
2019,REGIÃO SUL,RS,ETANOL,4318002,SAO BORJA,637060
2020,REGIÃO SUL,RS,ETANOL,4318002,SAO BORJA,419000
2021,REGIÃO SUL,RS,ETANOL,4318002,SAO BORJA,492168
2022,REGIÃO SUL,RS,ETANOL,4318002,SAO BORJA,333000
2023,REGIÃO SUL,RS,ETANOL,4318002,SAO BORJA,359000
2024,REGIÃO SUL,RS,ETANOL,4318002,SAO BORJA,592100
