ANO,GRANDE REGIÃO,UF,PRODUTO,CÓDIGO IBGE,MUNICÍPIO,VENDAS
1990,REGIÃO SUL,RS,GASOLINA C,4318002,SAO BORJA,5646386
1991,REGIÃO SUL,RS,GASOLINA C,4318002,SAO BORJA,6267414
1990,REGIÃO SUL,RS,GASOLINA C,4318002,SAO BORJA,5646386
1991,REGIÃO SUL,RS,GASOLINA C,4318002,SAO BORJA,6267414
2000,REGIÃO SUL,RS,GASOLINA C,4318002,SAO BORJA,9233585
2001,REGIÃO SUL,RS,GASOLINA C,4318002,SAO BORJA,8102466
2002,REGIÃO SUL,RS,GASOLINA C,4318002,SAO BORJA,5467900
2003,REGIÃO SUL,RS,GASOLINA C,4318002,SAO BORJA,6433190
2004,REGIÃO SUL,RS,GASOLINA C,4318002,SAO BORJA,6988500
2005,REGIÃO SUL,RS,GASOLINA C,4318002,SAO BORJA,4697500
2006,REGIÃO SUL,RS,GASOLINA C,4318002,SAO BORJA,2444000
2007,REGIÃO SUL,RS,GASOLINA C,4318002,SAO BORJA,2233087
2008,REGIÃO SUL,RS,GASOLINA C,4318002,SAO BORJA,3138550
2009,REGIÃO SUL,RS,GASOLINA C,4318002,SAO BORJA,4744500
2010,REGIÃO SUL,RS,GASOLINA C,4318002,SAO BORJA,7290000
2011,REGIÃO SUL,RS,GASOLINA C,4318002,SAO BORJA,8536800
2012,REGIÃO SUL,RS,GASOLINA C,4318002,SAO BORJA,13287700
2013,REGIÃO SUL,RS,GASOLINA C,4318002,SAO BORJA,13757900
2014,REGIÃO SUL,RS,GASOLINA C,4318002,SAO BORJA,16046900
2015,REGIÃO SUL,RS,GASOLINA C,4318002,SAO BORJA,15920800
2016,REGIÃO SUL,RS,GASOLINA C,4318002,SAO BORJA,16967000
2017,REGIÃO SUL,RS,GASOLINA C,4318002,SAO BORJA,16522420
2018,REGIÃO SUL,RS,GASOLINA C,4318002,SAO BORJA,15560427
2019,REGIÃO SUL,RS,GASOLINA C,4318002,SAO BORJA,15443000
2020,REGIÃO SUL,RS,GASOLINA C,4318002,SAO BORJA,14365100
2021,REGIÃO SUL,RS,GASOLINA C,4318002,SAO BORJA,14489600
2022,REGIÃO SUL,RS,GASOLINA C,4318002,SAO BORJA,10585600
2023,REGIÃO SUL,RS,GASOLINA C,4318002,SAO BORJA,10356700
2024,REGIÃO SUL,RS,GASOLINA C,4318002,SAO BORJA,15929410
