ANO,GRANDE REGIÃO,UF,PRODUTO,CÓDIGO IBGE,MUNICÍPIO,P13,OUTROS
2000,REGIÃO SUL,RS,GLP,4318002,SAO BORJA,2800893,0
2001,REGIÃO SUL,RS,GLP,4318002,SAO BORJA,2270712,0
2002,REGIÃO SUL,RS,GLP,4318002,SAO BORJA,2085763,4839
2003,REGIÃO SUL,RS,GLP,4318002,SAO BORJA,1797167,2341
2004,REGIÃO SUL,RS,GLP,4318002,SAO BORJA,1994700,17403
2005,REGIÃO SUL,RS,GLP,4318002,SAO BORJA,1833451,28357
2006,REGIÃO SUL,RS,GLP,4318002,SAO BORJA,1932347,30628
2007,REGIÃO SUL,RS,GLP,4318002,SAO BORJA,1700943,99058
2008,REGIÃO SUL,RS,GLP,4318002,SAO BORJA,1748403,79906
2011,REGIÃO SUL,RS,GLP,4318002,SAO BORJA,1800815,205044
2012,REGIÃO SUL,RS,GLP,4318002,SAO BORJA,1488026,200915
2013,REGIÃO SUL,RS,GLP,4318002,SAO BORJA,1741406,254456
2014,REGIÃO SUL,RS,GLP,4318002,SAO BORJA,1421455,234818
2015,REGIÃO SUL,RS,GLP,4318002,SAO BORJA,1396686,251950
2016,REGIÃO SUL,RS,GLP,4318002,SAO BORJA,1826920,266481
2017,REGIÃO SUL,RS,GLP,4318002,SAO BORJA,1769660,262274
2018,REGIÃO SUL,RS,GLP,4318002,SAO BORJA,1769660,262274
2019,REGIÃO SUL,RS,GLP,4318002,SAO BORJA,1710846,243698
2020,REGIÃO SUL,RS,GLP,4318002,SAO BORJA,1486610,205493
2021,REGIÃO SUL,RS,GLP,4318002,SAO BORJA,1642899,235744
2022,REGIÃO SUL,RS,GLP,4318002,SAO BORJA,1452283,222717
2023,REGIÃO SUL,RS,GLP,4318002,SAO BORJA,1447655,229030
2024,REGIÃO SUL,RS,GLP,4318002,SAO BORJA,1124934,210685
2009,REGIÃO SUL,RS,GLP,4318002,SAO BORJA,1786933,134917
2010,REGIÃO SUL,RS,GLP,4318002,SAO BORJA,1777116,169688
