ANO,GRANDE REGIÃO,UF,PRODUTO,CÓDIGO IBGE,MUNICÍPIO,VENDAS
1990,REGIÃO SUL,RS,ÓLEO DIESEL,4318002,SAO BORJA,30051954
1991,REGIÃO SUL,RS,ÓLEO DIESEL,4318002,SAO BORJA,30107771
1990,REGIÃO SUL,RS,ÓLEO DIESEL,4318002,SAO BORJA,30051954
1991,REGIÃO SUL,RS,ÓLEO DIESEL,4318002,SAO BORJA,30107771
2000,REGIÃO SUL,RS,ÓLEO DIESEL,4318002,SAO BORJA,41530314
2001,REGIÃO SUL,RS,ÓLEO DIESEL,4318002,SAO BORJA,37041696
2002,REGIÃO SUL,RS,ÓLEO DIESEL,4318002,SAO BORJA,34594275
2003,REGIÃO SUL,RS,ÓLEO DIESEL,4318002,SAO BORJA,35137722
2004,REGIÃO SUL,RS,ÓLEO DIESEL,4318002,SAO BORJA,31675309
2005,REGIÃO SUL,RS,ÓLEO DIESEL,4318002,SAO BORJA,24403043
2006,REGIÃO SUL,RS,ÓLEO DIESEL,4318002,SAO BORJA,18047014
2007,REGIÃO SUL,RS,ÓLEO DIESEL,4318002,SAO BORJA,17951360
2008,REGIÃO SUL,RS,ÓLEO DIESEL,4318002,SAO BORJA,20482236
2009,REGIÃO SUL,RS,ÓLEO DIESEL,4318002,SAO BORJA,17955000
2010,REGIÃO SUL,RS,ÓLEO DIESEL,4318002,SAO BORJA,26143000
2011,REGIÃO SUL,RS,ÓLEO DIESEL,4318002,SAO BORJA,30845700
2012,REGIÃO SUL,RS,ÓLEO DIESEL,4318002,SAO BORJA,44807100
2013,REGIÃO SUL,RS,ÓLEO DIESEL,4318002,SAO BORJA,42994100
2014,REGIÃO SUL,RS,ÓLEO DIESEL,4318002,SAO BORJA,38661700
2015,REGIÃO SUL,RS,ÓLEO DIESEL,4318002,SAO BORJA,36447700
2016,REGIÃO SUL,RS,ÓLEO DIESEL,4318002,SAO BORJA,35866800
2017,REGIÃO SUL,RS,ÓLEO DIESEL,4318002,SAO BORJA,35387280
2018,REGIÃO SUL,RS,ÓLEO DIESEL,4318002,SAO BORJA,35786390
2019,REGIÃO SUL,RS,ÓLEO DIESEL,4318002,SAO BORJA,31944000
2020,REGIÃO SUL,RS,ÓLEO DIESEL,4318002,SAO BORJA,30270700
2021,REGIÃO SUL,RS,ÓLEO DIESEL,4318002,SAO BORJA,29258500
2022,REGIÃO SUL,RS,ÓLEO DIESEL,4318002,SAO BORJA,26522020
2023,REGIÃO SUL,RS,ÓLEO DIESEL,4318002,SAO BORJA,32426894
2024,REGIÃO SUL,RS,ÓLEO DIESEL,4318002,SAO BORJA,49501472
