regime,position_date,page,cnae,count
SINAC,12/09/2026,1,0115600,4
SINAC,12/09/2026,1,0151201,1
SINAC,12/09/2026,1,0151202,1
SINAC,12/09/2026,1,0155505,1
SINAC,12/09/2026,1,0159801,1
SINAC,12/09/2026,1,0159802,1
SINAC,12/09/2026,1,0161001,12
SINAC,12/09/2026,1,0161002,9
SINAC,12/09/2026,1,0161003,68
SINAC,12/09/2026,1,0161099,2
SINAC,12/09/2026,1,0162802,3
SINAC,12/09/2026,1,0163600,3
SINAC,12/09/2026,1,0322104,1
SINAC,12/09/2026,1,1012101,1
SINAC,12/09/2026,1,1013901,3
SINAC,12/09/2026,1,1020101,1
SINAC,12/09/2026,1,1031700,2
SINAC,12/09/2026,1,1032599,1
SINAC,12/09/2026,1,1041400,1
SINAC,12/09/2026,1,1053800,3
SINAC,12/09/2026,1,1061901,1
SINAC,12/09/2026,1,1061902,4
SINAC,12/09/2026,1,1066000,2
SINAC,12/09/2026,1,1091101,30
SINAC,12/09/2026,1,1091102,60
SINAC,12/09/2026,1,1092900,2
SINAC,12/09/2026,1,1093701,1
SINAC,12/09/2026,1,1094500,2
SINAC,12/09/2026,1,1096100,4
SINAC,12/09/2026,1,1099604,2
SINAC,12/09/2026,1,1111901,1
SINAC,12/09/2026,1,1112700,1
SINAC,12/09/2026,1,1113502,1
SINAC,12/09/2026,1,1340599,3
SINAC,12/09/2026,1,1351100,3
SINAC,12/09/2026,1,1359600,25
SINAC,12/09/2026,1,1411801,1
SINAC,12/09/2026,1,1412601,31
SINAC,12/09/2026,1,1412602,36
SINAC,12/09/2026,1,1412603,3
SINAC,12/09/2026,1,1422300,7
SINAC,12/09/2026,1,1529700,2
SINAC,12/09/2026,1,1531901,1
SINAC,12/09/2026,1,1622699,9
SINAC,12/09/2026,1,1629301,4
SINAC,12/09/2026,1,1732000,2
SINAC,12/09/2026,1,1749400,3
SINAC,12/09/2026,1,1813001,4
SINAC,12/09/2026,1,1813099,8
