query,table_index,row_index,cells_json
sinac_cnae,2,1,"[""SAO BORJA - 0115600"", ""4""]"
sinac_cnae,2,2,"[""SAO BORJA - 0151201"", ""1""]"
sinac_cnae,2,3,"[""SAO BORJA - 0151202"", ""1""]"
sinac_cnae,2,4,"[""SAO BORJA - 0155505"", ""1""]"
sinac_cnae,2,5,"[""SAO BORJA - 0159801"", ""1""]"
sinac_cnae,2,6,"[""SAO BORJA - 0159802"", ""1""]"
sinac_cnae,2,7,"[""SAO BORJA - 0161001"", ""12""]"
sinac_cnae,2,8,"[""SAO BORJA - 0161002"", ""9""]"
sinac_cnae,2,9,"[""SAO BORJA - 0161003"", ""68""]"
sinac_cnae,2,10,"[""SAO BORJA - 0161099"", ""2""]"
sinac_cnae,2,11,"[""SAO BORJA - 0162802"", ""3""]"
sinac_cnae,2,12,"[""SAO BORJA - 0163600"", ""3""]"
sinac_cnae,2,13,"[""SAO BORJA - 0322104"", ""1""]"
sinac_cnae,2,14,"[""SAO BORJA - 1012101"", ""1""]"
sinac_cnae,2,15,"[""SAO BORJA - 1013901"", ""3""]"
sinac_cnae,2,16,"[""SAO BORJA - 1020101"", ""1""]"
sinac_cnae,2,17,"[""SAO BORJA - 1031700"", ""2""]"
sinac_cnae,2,18,"[""SAO BORJA - 1032599"", ""1""]"
sinac_cnae,2,19,"[""SAO BORJA - 1041400"", ""1""]"
sinac_cnae,2,20,"[""SAO BORJA - 1053800"", ""3""]"
sinac_cnae,2,21,"[""SAO BORJA - 1061901"", ""1""]"
sinac_cnae,2,22,"[""SAO BORJA - 1061902"", ""4""]"
sinac_cnae,2,23,"[""SAO BORJA - 1066000"", ""2""]"
sinac_cnae,2,24,"[""SAO BORJA - 1091101"", ""30""]"
sinac_cnae,2,25,"[""SAO BORJA - 1091102"", ""60""]"
sinac_cnae,2,26,"[""SAO BORJA - 1092900"", ""2""]"
sinac_cnae,2,27,"[""SAO BORJA - 1093701"", ""1""]"
sinac_cnae,2,28,"[""SAO BORJA - 1094500"", ""2""]"
sinac_cnae,2,29,"[""SAO BORJA - 1096100"", ""4""]"
sinac_cnae,2,30,"[""SAO BORJA - 1099604"", ""2""]"
sinac_cnae,2,31,"[""SAO BORJA - 1111901"", ""1""]"
sinac_cnae,2,32,"[""SAO BORJA - 1112700"", ""1""]"
sinac_cnae,2,33,"[""SAO BORJA - 1113502"", ""1""]"
sinac_cnae,2,34,"[""SAO BORJA - 1340599"", ""3""]"
sinac_cnae,2,35,"[""SAO BORJA - 1351100"", ""3""]"
sinac_cnae,2,36,"[""SAO BORJA - 1359600"", ""25""]"
sinac_cnae,2,37,"[""SAO BORJA - 1411801"", ""1""]"
sinac_cnae,2,38,"[""SAO BORJA - 1412601"", ""31""]"
sinac_cnae,2,39,"[""SAO BORJA - 1412602"", ""36""]"
sinac_cnae,2,40,"[""SAO BORJA - 1412603"", ""3""]"
sinac_cnae,2,41,"[""SAO BORJA - 1422300"", ""7""]"
sinac_cnae,2,42,"[""SAO BORJA - 1529700"", ""2""]"
sinac_cnae,2,43,"[""SAO BORJA - 1531901"", ""1""]"
sinac_cnae,2,44,"[""SAO BORJA - 1622699"", ""9""]"
sinac_cnae,2,45,"[""SAO BORJA - 1629301"", ""4""]"
sinac_cnae,2,46,"[""SAO BORJA - 1732000"", ""2""]"
sinac_cnae,2,47,"[""SAO BORJA - 1749400"", ""3""]"
sinac_cnae,2,48,"[""SAO BORJA - 1813001"", ""4""]"
sinac_cnae,2,49,"[""SAO BORJA - 1813099"", ""8""]"
sinac_cnae,2,50,"[""SAO BORJA - 1821100"", ""4""]"
sinac_cnae,2,51,"[""SAO BORJA - 1822999"", ""1""]"
sinac_cnae,2,52,"[""SAO BORJA - 2062200"", ""1""]"
sinac_cnae,2,53,"[""SAO BORJA - 2212900"", ""1""]"
sinac_cnae,2,54,"[""SAO BORJA - 2229399"", ""2""]"
sinac_cnae,2,55,"[""SAO BORJA - 2330301"", ""1""]"
sinac_cnae,2,56,"[""SAO BORJA - 2330302"", ""2""]"
sinac_cnae,2,57,"[""SAO BORJA - 2330399"", ""3""]"
sinac_cnae,2,58,"[""SAO BORJA - 2342702"", ""1""]"
sinac_cnae,2,59,"[""SAO BORJA - 2349499"", ""3""]"
sinac_cnae,2,60,"[""SAO BORJA - 2391503"", ""4""]"
sinac_cnae,2,61,"[""SAO BORJA - 2399101"", ""1""]"
sinac_cnae,2,62,"[""SAO BORJA - 2424501"", ""1""]"
sinac_cnae,2,63,"[""SAO BORJA - 2511000"", ""3""]"
sinac_cnae,2,64,"[""SAO BORJA - 2512800"", ""13""]"
sinac_cnae,2,65,"[""SAO BORJA - 2522500"", ""1""]"
sinac_cnae,2,66,"[""SAO BORJA - 2532201"", ""6""]"
sinac_cnae,2,67,"[""SAO BORJA - 2539001"", ""59""]"
sinac_cnae,2,68,"[""SAO BORJA - 2539002"", ""1""]"
sinac_cnae,2,69,"[""SAO BORJA - 2541100"", ""6""]"
sinac_cnae,2,70,"[""SAO BORJA - 2542000"", ""24""]"
sinac_cnae,2,71,"[""SAO BORJA - 2543800"", ""1""]"
sinac_cnae,2,72,"[""SAO BORJA - 2593400"", ""1""]"
sinac_cnae,2,73,"[""SAO BORJA - 2599301"", ""4""]"
sinac_cnae,2,74,"[""SAO BORJA - 2599302"", ""1""]"
sinac_cnae,2,75,"[""SAO BORJA - 2599399"", ""1""]"
sinac_cnae,2,76,"[""SAO BORJA - 2950600"", ""3""]"
sinac_cnae,2,77,"[""SAO BORJA - 3101200"", ""22""]"
sinac_cnae,2,78,"[""SAO BORJA - 3102100"", ""1""]"
sinac_cnae,2,79,"[""SAO BORJA - 3103900"", ""1""]"
sinac_cnae,2,80,"[""SAO BORJA - 3212400"", ""3""]"
sinac_cnae,2,81,"[""SAO BORJA - 3240099"", ""1""]"
sinac_cnae,2,82,"[""SAO BORJA - 3250706"", ""2""]"
sinac_cnae,2,83,"[""SAO BORJA - 3299002"", ""1""]"
sinac_cnae,2,84,"[""SAO BORJA - 3299003"", ""2""]"
sinac_cnae,2,85,"[""SAO BORJA - 3299006"", ""3""]"
sinac_cnae,2,86,"[""SAO BORJA - 3299099"", ""32""]"
sinac_cnae,2,87,"[""SAO BORJA - 3312102"", ""1""]"
sinac_cnae,2,88,"[""SAO BORJA - 3313901"", ""3""]"
sinac_cnae,2,89,"[""SAO BORJA - 3313999"", ""1""]"
sinac_cnae,2,90,"[""SAO BORJA - 3314701"", ""1""]"
sinac_cnae,2,91,"[""SAO BORJA - 3314702"", ""3""]"
sinac_cnae,2,92,"[""SAO BORJA - 3314704"", ""1""]"
sinac_cnae,2,93,"[""SAO BORJA - 3314707"", ""6""]"
sinac_cnae,2,94,"[""SAO BORJA - 3314710"", ""4""]"
sinac_cnae,2,95,"[""SAO BORJA - 3314711"", ""57""]"
sinac_cnae,2,96,"[""SAO BORJA - 3314712"", ""27""]"
sinac_cnae,2,97,"[""SAO BORJA - 3314719"", ""2""]"
sinac_cnae,2,98,"[""SAO BORJA - 3317102"", ""1""]"
sinac_cnae,2,99,"[""SAO BORJA - 3319800"", ""6""]"
sinac_cnae,2,100,"[""SAO BORJA - 3321000"", ""11""]"
simei_cnae,2,1,"[""SAO BORJA - 0159801"", ""1""]"
simei_cnae,2,2,"[""SAO BORJA - 0159802"", ""1""]"
simei_cnae,2,3,"[""SAO BORJA - 0161002"", ""9""]"
simei_cnae,2,4,"[""SAO BORJA - 0161003"", ""43""]"
simei_cnae,2,5,"[""SAO BORJA - 0162802"", ""1""]"
simei_cnae,2,6,"[""SAO BORJA - 0322104"", ""1""]"
simei_cnae,2,7,"[""SAO BORJA - 1013901"", ""3""]"
simei_cnae,2,8,"[""SAO BORJA - 1031700"", ""2""]"
simei_cnae,2,9,"[""SAO BORJA - 1032599"", ""1""]"
simei_cnae,2,10,"[""SAO BORJA - 1061902"", ""4""]"
simei_cnae,2,11,"[""SAO BORJA - 1091101"", ""29""]"
simei_cnae,2,12,"[""SAO BORJA - 1091102"", ""57""]"
simei_cnae,2,13,"[""SAO BORJA - 1092900"", ""2""]"
simei_cnae,2,14,"[""SAO BORJA - 1093701"", ""1""]"
simei_cnae,2,15,"[""SAO BORJA - 1094500"", ""1""]"
simei_cnae,2,16,"[""SAO BORJA - 1096100"", ""4""]"
simei_cnae,2,17,"[""SAO BORJA - 1099604"", ""2""]"
simei_cnae,2,18,"[""SAO BORJA - 1340599"", ""3""]"
simei_cnae,2,19,"[""SAO BORJA - 1351100"", ""3""]"
simei_cnae,2,20,"[""SAO BORJA - 1359600"", ""23""]"
simei_cnae,2,21,"[""SAO BORJA - 1411801"", ""1""]"
simei_cnae,2,22,"[""SAO BORJA - 1412601"", ""27""]"
simei_cnae,2,23,"[""SAO BORJA - 1412602"", ""36""]"
simei_cnae,2,24,"[""SAO BORJA - 1412603"", ""3""]"
simei_cnae,2,25,"[""SAO BORJA - 1422300"", ""6""]"
simei_cnae,2,26,"[""SAO BORJA - 1529700"", ""2""]"
simei_cnae,2,27,"[""SAO BORJA - 1622699"", ""7""]"
