division_code,division_name,sinac_count,sinac_share_pct,simei_count,simei_share_pct,simei_sinac_ratio_pct,position_date,geography,source
47,COMÉRCIO VAREJISTA,1943,27.08,1107,22.67,56.97,12/09/2026,São Borja/RS,Receita Federal - Estatísticas do Simples Nacional
43,SERVIÇOS ESPECIALIZADOS PARA CONSTRUÇÃO,702,9.78,624,12.78,88.89,12/09/2026,São Borja/RS,Receita Federal - Estatísticas do Simples Nacional
49,TRANSPORTE TERRESTRE,599,8.35,438,8.97,73.12,12/09/2026,São Borja/RS,Receita Federal - Estatísticas do Simples Nacional
56,ALIMENTAÇÃO,498,6.94,378,7.74,75.90,12/09/2026,São Borja/RS,Receita Federal - Estatísticas do Simples Nacional
45,COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,490,6.83,327,6.70,66.73,12/09/2026,São Borja/RS,Receita Federal - Estatísticas do Simples Nacional
96,OUTRAS ATIVIDADES DE SERVIÇOS PESSOAIS,447,6.23,420,8.60,93.96,12/09/2026,São Borja/RS,Receita Federal - Estatísticas do Simples Nacional
82,"SERVIÇOS DE ESCRITÓRIO, DE APOIO ADMINISTRATIVO E OUTROS SERVIÇOS PRESTADOS PRINCIPALMENTE ÀS EMPRESAS",212,2.95,133,2.72,62.74,12/09/2026,São Borja/RS,Receita Federal - Estatísticas do Simples Nacional
73,PUBLICIDADE E PESQUISA DE MERCADO,194,2.70,157,3.22,80.93,12/09/2026,São Borja/RS,Receita Federal - Estatísticas do Simples Nacional
97,SERVIÇOS DOMÉSTICOS,184,2.56,184,3.77,100.00,12/09/2026,São Borja/RS,Receita Federal - Estatísticas do Simples Nacional
85,EDUCAÇÃO,164,2.29,133,2.72,81.10,12/09/2026,São Borja/RS,Receita Federal - Estatísticas do Simples Nacional
33,"MANUTENÇÃO, REPARAÇÃO E INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTOS",152,2.12,117,2.40,76.97,12/09/2026,São Borja/RS,Receita Federal - Estatísticas do Simples Nacional
25,"FABRICAÇÃO DE PRODUTOS DE METAL, EXCETO MÁQUINAS E EQUIPAMENTOS",121,1.69,89,1.82,73.55,12/09/2026,São Borja/RS,Receita Federal - Estatísticas do Simples Nacional
10,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS,120,1.67,106,2.17,88.33,12/09/2026,São Borja/RS,Receita Federal - Estatísticas do Simples Nacional
86,ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA,117,1.63,0,0.00,0.00,12/09/2026,São Borja/RS,Receita Federal - Estatísticas do Simples Nacional
01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",106,1.48,55,1.13,51.89,12/09/2026,São Borja/RS,Receita Federal - Estatísticas do Simples Nacional
95,"REPARAÇÃO E MANUTENÇÃO DE EQUIPAMENTOS DE INFORMÁTICA E COMUNICAÇÃO E DE OBJETOS PESSOAIS E DOMÉSTICOS",100,1.39,84,1.72,84.00,12/09/2026,São Borja/RS,Receita Federal - Estatísticas do Simples Nacional
