eixo,indicador,valor,unidade,geografia,periodo,natureza,fonte,leitura_permitida,nao_prova
"Geração de valor","VAB agropecuária",795875000,"R$ correntes","São Borja","2021","OBSERVADO","IBGE PIB dos Municípios / VAB_recursos_publicos_v019","Agro é grande gerador de valor territorial","Que renda/propriedade/investimento permaneça no município"
"Geração de valor","VAB comércio e outros serviços exceto administração pública",928203000,"R$ correntes","São Borja","2021","OBSERVADO","IBGE PIB dos Municípios / VAB_recursos_publicos_v019","Terciário privado também é grande gerador de valor, não apenas circuito de circulação","Que todo valor seja capturado por residentes"
"Geração de valor","VAB administração pública",351229000,"R$ correntes","São Borja","2021","OBSERVADO","IBGE PIB dos Municípios / VAB_recursos_publicos_v019","Setor público é componente material do valor agregado local","Que transferências/folhas possam ser somadas ao VAB"
"Distribuição primária","Remunerações/VAB — agro",0.1275,"%","Rio Grande do Sul","2019","BENCHMARK CALCULADO","TRU-RS 2019","Agro estadual apresenta canal proporcionalmente menor via remunerações do trabalho","Coeficiente municipal nem vazamento"
"Distribuição primária","Remunerações/VAB — comércio",0.5017,"%","Rio Grande do Sul","2019","BENCHMARK CALCULADO","TRU-RS 2019","Comércio estadual apresenta canal laboral proporcionalmente mais forte","Coeficiente municipal"
"Distribuição primária","Remunerações/VAB — administração pública",0.8952,"%","Rio Grande do Sul","2019","BENCHMARK CALCULADO","TRU-RS 2019","VAB público estadual é fortemente transmitido por remunerações","Que todo salário seja gasto localmente"
"Compras públicas","Presença local ampliada no CORE_PROCUREMENT",0.7486940251,"% do valor pago","São Borja","01/01–18/09/2026","CALCULADO EXPLORATÓRIO","Portal PMSB + RFB CNPJ 2026-08","Primeira rodada do gasto compatível com compras/contratações é majoritariamente associada a credores com presença local","Taxa final de retenção"
"Compras públicas","Presença local ampliada sem Fundação Ivan Goulart",0.5856918471,"% do valor pago","São Borja","01/01–18/09/2026","SENSIBILIDADE","Portal PMSB + RFB CNPJ 2026-08","Ancoragem pública continua majoritária, mas é muito menor sem a principal âncora institucional","Que o restante seja contratação mercantil homogênea"
"Compras públicas","Exposição externa em bens + materiais + equipamentos",0.7409448912,"% do valor do bloco","São Borja","01/01–18/09/2026","CALCULADO EXPLORATÓRIO","Portal PMSB + RFB CNPJ 2026-08","Aquisições padronizadas/bens apresentam elevada primeira rodada externa","Viabilidade automática de substituição por fornecedores locais"
"Compras públicas","Presença local em serviços PJ genéricos sem Fundação Ivan Goulart",0.8026648093,"% do valor do bloco","São Borja","01/01–18/09/2026","SENSIBILIDADE","Portal PMSB + RFB CNPJ 2026-08","Serviços permanecem mais ancorados localmente que bens/equipamentos","Que toda cadeia de serviços seja local"
"Agro/cadeia","Núcleo de custo territorialmente exposto — arroz",0.5594,"% do custo","Uruguaiana/RS benchmark regional","2025/26","BENCHMARK CALCULADO","Conab custo de produção","Parcela relevante do custo está em itens cuja origem territorial deve ser investigada","Que 55,94% seja vazamento de São Borja"
"Agro/cadeia","Conteúdo fora do RS nas linhas Conab mapeadas via MIP",0.1001,"% do custo total","Benchmark RS/Uruguaiana","MIP-RS 2019 × Conab 2025/26","BENCHMARK CALCULADO","MIP-RS + Conab","Existe piso estrutural parcial de conteúdo extrarregional em linhas mapeadas","Taxa municipal nem cobertura completa da cadeia"
"Mercado consumidor","Rendimento domiciliar per capita mediano",1100,"R$/mês","São Borja","Censo 2022","OBSERVADO","IBGE Censo 2022","Base residente tem renda mediana limitada","Baixa renda relativa a pares sem comparação controlada"
"Mercado consumidor","Sem rendimento ou até 2 SM per capita",0.8579,"% da população/universo censitário","São Borja","Censo 2022","CALCULADO SOBRE IBGE","IBGE Censo 2022","Grande concentração nos estratos inferiores/intermediários de renda","Incapacidade de consumo em toda categoria"
"Mercado consumidor","Mais de 5 SM per capita",0.0278295,"% da população/universo censitário","São Borja","Censo 2022","CALCULADO SOBRE IBGE","IBGE Censo 2022","Nicho residente de alta renda é numericamente pequeno","Inviabilidade de negócios premium sem demanda regional/B2B"
"Demografia","Saldo migratório residual intercensitário — faixa robusta","-4780 a -5001","pessoas","São Borja","2010–2022","CALCULADO","IBGE Censos + DATASUS nascimentos/óbitos","Declínio populacional coexistiu com crescimento natural positivo e residual migratório negativo","Causa econômica da migração"
"Redes externas","Estabelecimentos varejistas de matriz externa",0.0663,"% estabelecimentos","São Borja","RFB 2026-08","OBSERVADO/CLASSIFICADO","RFB CNPJ","Presença cadastral externa é minoritária em número de unidades","Participação em vendas"
"Redes externas","Emprego varejista estimado em estabelecimentos externos",0.3746,"% vínculos","São Borja","RAIS 2025 × RFB 2026-08","ESTIMADO","SBMI RAIS/RFB territorial control","Redes externas concentram parcela muito maior do emprego que do número de estabelecimentos","Market share nem remessa de lucros"
"Redes externas","Remuneração varejista estimada em estabelecimentos externos",0.3816,"% massa de dezembro","São Borja","RAIS 2025 × RFB 2026-08","ESTIMADO","SBMI RAIS/RFB territorial control","Peso econômico laboral das redes externas supera seu peso cadastral","Vazamento da massa salarial"
